가게,주소,도로명주소,경도,위도
스타벅스 오목교역점,목동 404-13,서울 양천구 오목로 354,126.8768209,37.52397499
스타벅스 석촌서호점,삼전동 130-2,서울 송파구 석촌호수로 176 1층,127.0966422,37.50637395
스타벅스 신사역점,논현동 1-4,서울 강남구 도산대로 108 렉스타워 1층,127.0206523,37.51618454
스타벅스 길음역점,돈암동 625-2,서울 성북구 정릉로 376,127.0253346,37.60202657
스타벅스 이수역점,방배동 3000-1,서울 서초구 동작대로 112 한신 휴플러스 1층,126.9826765,37.48650173
스타벅스 발산역점,등촌동 678-14,서울 강서구 강서로 388 1층,126.8393227,37.5601848
스타벅스 가양역점,등촌동 73-1,서울 강서구 양천로 476,126.8532751,37.56159926
스타벅스 청담점,청담동 52-1,서울 강남구 도산대로 532 인희빌딩 1층,127.0515916,37.5243447
스타벅스 교대역점,서초동 1693-3,"서울 서초구 서초중앙로 138 1,2층",127.0139497,37.49423691
스타벅스 신용산역점,한강로2가 332-4,서울 용산구 한강대로 95,126.9666266,37.52881796
스타벅스 양재강남빌딩R점,도곡동 956,서울 강남구 남부순환로 2621,127.0366171,37.4852714
스타벅스 석촌역점,석촌동 286-9,서울 송파구 백제고분로 358 우전빌딩 1층,127.1060431,37.50428924
스타벅스 동빙고점,동빙고동 10-8,서울 용산구 장문로 12,126.9918138,37.52897097
스타벅스 강변역,구의동 589-10,서울 광진구 구의강변로 64 구의아크로리버 제1층 109호,127.0929953,37.5364614
스타벅스 포이점,개포4동 1229-1,서울 강남구 논현로 88,127.045131,37.47781848
스타벅스 신사가로수점,신사동 533-11,서울 강남구 가로수길 59,127.0225236,37.52188648
스타벅스 구산역점,대조동 224-14,서울 은평구 연서로 146,126.9177074,37.61181889
스타벅스 가로수길점,신사동 529-10,서울 강남구 논현로175길 94 임도빌딩 1층,127.0216426,37.52319429
스타벅스 여의도역R점,여의도동 23-6,서울 영등포구 의사당대로 83 한국휴렛팩커드빌딩 1층,126.9234501,37.52336682
스타벅스 홍제역점,홍제동 301-19,서울 서대문구 통일로 451,126.9438521,37.58866938
스타벅스 안국점,재동 109,서울 종로구 북촌로 5-1,126.9856501,37.57737737
스타벅스 쌍문역점,창동 659-5,서울 도봉구 도봉로 480,127.0348883,37.64835277
스타벅스 서울고속터미널점,반포동 19-4,서울 서초구 신반포로 194,127.0068343,37.50643567
스타벅스 선정릉역,삼성동 37-17,서울 강남구 봉은사로 407,127.0445677,37.51078403
스타벅스 광화문D타워점,종로1가 17,서울 종로구 종로3길 17 D타워,126.978898,37.57098043
스타벅스 공덕오거리점,도화동 22,서울 마포구 마포대로 86 1층,126.9505412,37.54264061
스타벅스 여의도IFC점,여의도동 23,서울 영등포구 국제금융로 10 1층,126.9258982,37.52503376
