건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균,건물형태,보증금평가,월세평가,경도,위도
재일파크6차,가리봉동 774-2,2층,2020 7 13,"    17,000/         0",59.76,18.1,2006,9290.065059383156,0.0,연립/다세대,적정보증금,적정월세,126.968782,37.470465
성지리치빌(124-53),가리봉동 124-53,5층,2020 7 16,"    16,000/         0",59.46,18.0,2004,8888.888888888889,0.0,연립/다세대,적정보증금,적정월세,126.854846,37.48852700000001
재일파크7차,가리봉동 772-6,5층,2020 7 31,"    11,000/         0",76.49,23.1,2006,4761.904761904762,0.0,연립/다세대,적정보증금,적정월세,126.852996,37.491185
(134-94),가리봉동 134-94,4층,2020 7 31,"    15,000/         0",53.3,16.1,1996,9316.770186335403,0.0,연립/다세대,적정보증금,적정월세,126.860597,37.495538
모던클래식하우스,고척동 249-47,3층,2020 7 6,        50/        25,29.61,9.0,2019,55.55555555555557,27.222222222222207,연립/다세대,적정보증금,적정월세,126.853721,37.492588
삼성그린빌나동,고척동 142-56,3층,2020 7 18,"    16,000/         0",59.64,18.0,2002,8888.888888888889,0.0,연립/다세대,적정보증금,적정월세,126.84932,37.500123
57-47,고척동 57-47,3층,2020 7 22,       100/        13,19.76,6.0,2013,166.66666666666669,21.666666666666664,연립/다세대,적정보증금,적정월세,126.855177,37.500171
청민그린빌라 나동,고척동 264-8,2층,2020 7 30,"    16,000/         0",54.6,16.5,1991,9696.969696969698,0.0,연립/다세대,적정보증금,적정월세,126.841615,37.503995
태양빌라(271-32),개봉동 271-32,2층,2020 7 2,"     4,000/        30",36.24,11.0,1990,3636.363636363636,27.27272727272727,연립/다세대,적정보증금,적정월세,126.84203,37.503458
수정힐타운 나동,개봉동 449-4,3층,2020 7 2,"    15,200/         0",51.75,15.7,2002,9681.528662420384,0.0,연립/다세대,적정보증금,적정월세,126.85162,37.49173
대복주택(33),개봉동 33-85,1층,2020 7 4,"     6,000/         0",39.67,12.0,1986,5000.0,0.0,연립/다세대,적정보증금,적정월세,126.854751,37.492544
성해빌라트(319-6),개봉동 319-6,3층,2020 7 5,"    18,000/         0",60.5,18.3,2002,9836.065573770493,0.0,연립/다세대,적정보증금,적정월세,126.84289,37.490257
창동빌라 다동,개봉동 38-73,1층,2020 7 7,"    12,000/         0",46.44,14.0,1988,8571.42857142857,0.0,연립/다세대,적정보증금,적정월세,126.847657,37.494268
목화타운 6동(50-36),개봉동 50-36,1층,2020 7 7,"    10,000/         0",36.34,11.0,1986,9090.909090909092,0.0,연립/다세대,적정보증금,적정월세,126.843156,37.499387
