건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균
숭인한양LEEPS, 숭인동 1421-2,13층,2020 6 2,"3,000/38",17.07,5.2,2014,12692.307692307691,45.38461538461539
정석그라시아, 오장동 90-8,2층,2020 6 25,100/31,20.81,6.3,2019,158.30498866213168,49.34240362811792
남산더힐A동, 신당동 420-17,6층,2020 6 19,"24,000/0",34.71,10.5,2015,23333.33333333333,0.0
남산더힐B동, 신당동 420-23,6층,2020 6 24,"2,000/82",34.71,10.5,2015,8829.36507936508,51.329365079365076
동광팰리스, 황학동 1572,2층,2020 6 2,"1,000/105",36.11,10.9,2018,18618.91146294816,14.820042342978123
신당블루카운티, 황학동 846,7층,2020 6 4,"23,000/0",28.58,8.6,2016,12031.007751937985,42.22222222222222
드림하이츠, 길동 416-13,3층,2020 6 16,"1,000/40",25.55,7.7,2015,1298.7012987012986,51.94805194805195
트리안, 성내동 47-8,2층,2020 6 5,"19,500/0",19.88,6.0,2019,30321.62586315129,0.0
해인하우스, 성내동 46-4,3층,2020 6 6,"18,300/0",22.95,6.9,2018,19864.052323885964,24.202420242024203
한강리버빌, 천호동 466-3,2층,2020 6 22,500/35,22.02,6.7,2002,746.2686567164179,52.23880597014925
강일 테라우드, 강일동 676-1,7층,2020 6 1,"2,000/70",59.4,18.0,2019,10370.370370370372,12.962962962962962
와이위드미, 중곡동 648-19,4층,2020 6 24,100/41,18.59,5.6,2019,178.57142857142858,73.21428571428572
평강오피스텔, 구의동 598-2,5층,2020 6 2,"10,000/70",51.0,15.4,2003,15441.558441558442,9.09090909090909
광진팰리스, 구의동 251-26,3층,2020 6 11,60/31,16.9,5.1,2019,117.64705882352942,60.7843137254902
트레저힐스, 마장동 775-2,4층,2020 6 14,"22,000/0",26.97,8.2,2018,16972.787456445993,28.57142857142857
금호힐오피스텔, 금호동1가 1755,3층,2020 6 30,500/55,29.97,9.1,2002,5426.9826558983195,47.17330861909174
