건물명,주소,위도,경도
스테이 더 디자이너스 군자, 군자동 473-21,37.55734298,127.0778495
금호힐오피스텔, 금호동1가 1755,37.55166963,127.0257204
재호예향빌, 금호동4가 1028,37.54686872,127.0188558
지앤지타워, 길동 150-1,37.53509491,127.1438622
강동 디앤써밋, 길동 320-2,37.54472747,127.1428996
라온오피스텔, 길동 347-30,37.54114022,127.1424135
더힐스빌, 길동 350-3,37.54070445,127.1432349
노블레스, 길동 383-8,37.53902209,127.1366577
광남벨라스, 길동 385-3,37.53820487,127.1367145
"	(386-8)	", 길동 386-8,37.53770883,127.1373395
다성 이즈빌, 길동 387-2,37.53809936,127.138057
다성 이즈빌, 길동 387-4,37.53816133,127.1384019
길동청광플러스원큐브1차, 길동 387-5,37.53800929,127.138345
다성이즈빌, 길동 388-4,37.53783482,127.1390335
메트로 아파텔, 길동 388-5,37.53747279,127.1388979
다성 이즈빌, 길동 388-7,37.53798067,127.1387398
광남캐스빌, 길동 389-9,37.53765314,127.1393502
경지 Arium, 길동 413-11,37.53643575,127.1380849
"	(413-23)	", 길동 413-23,37.53633303,127.1382799
(413-24), 길동 413-24,37.53623728,127.1383279
아스테르 오피스텔, 길동 413-37,37.53657103,127.1384339
도고하임, 길동 413-54,37.53558396,127.1383842
강동 와이시티, 길동 414-4,37.53649038,127.1374464
강동 큐브 2차, 길동 415-13,37.53662199,127.1361604
청광플러스원큐브3차, 길동 415-16,37.53635905,127.1364838
드림하이츠, 길동 416-13,37.53681485,127.1357329
강동투웨니퍼스트, 길동 416-15,37.53669052,127.135697
솔목오피스텔, 길동 416-4,37.53728431,127.135573
강동역에스케이허브, 길동 445-1,37.535553,127.1349727
일성하이츠오피스텔, 길동 454-1,37.53517167,127.1363347
강동 큐브, 길동 456-3,37.53543713,127.1371006
다성이즈빌, 길동 456-4,37.53529289,127.1370466
청광플러스원큐브2차, 길동 457,37.53512955,127.1369444
강동렘브란트, 길동 457-1,37.53505288,127.1372673
거산 유팰리스, 길동 457-4,37.53479005,127.1372375
비바체하임, 길동 97-5,37.5404408,127.146352
경희궁의 아침 2단지, 내수동 71,37.57395496,126.9712814
경희궁의 아침 3단지, 내수동 72,37.57364515,126.9720837
경희궁의 아침 4단지, 내수동 73,37.5726095,126.9722729
광화문시대, 내수동 74,37.57379438,126.9731567
용비어천가, 내수동 75,37.57341849,126.9732568
노량진 드림스퀘어 복합빌딩, 노량진동 16-1,37.5143262,126.9393907
백명트렌디타워, 노량진동 194-3,37.51274895,126.9485887
노량진큐브스테이트, 노량진동 267-6,37.51285927,126.934649
(39-9), 노량진동 39-9,37.51259235,126.9385336
태영 오피스텔, 노량진동 56-11,37.51266352,126.9413245
메가스터디타워, 노량진동 57-1,37.51292406,126.9416914
"	(131-14)	", 녹번동 131-14,37.60834966,126.9281277
스카이 타워, 녹번동 144-100,37.60698355,126.9235314
에스클래스, 녹번동 144-43,37.60661848,126.9234117
대경아르체, 녹번동 176-3,37.60236052,126.9219527
마하나임, 녹번동 176-4,37.60223941,126.9218544
로하스 오피스텔, 녹번동 176-6,37.60220108,126.9221958
거장메카, 녹번동 183-2,37.60213589,126.9278989
은평 미드스퀘어, 녹번동 19-121,37.6034376,126.9353361
오피스텔수안, 녹번동 27-7,37.60626308,126.9331393
녹번동메카오피스텔, 녹번동 35-21,37.60344236,126.9346626
녹번동오피스텔, 녹번동 35-75,37.60319127,126.9346343
