건물명,주소,입력주소,경도,위도
문정푸르지오,문정동 18,서울시  문정동 18,127.128275,37.486932
문정대우푸르지오,문정동 19,서울시  문정동 19,127.127224,37.486825
현대1,문정동 3,서울시  문정동 3,127.128028,37.491643
프라임,문정동 4-1,서울시  문정동 4-1,127.126873,37.490796
성해,문정동 4-2,서울시  문정동 4-2,127.126668,37.490867
동궁리치웰문정(2차),문정동 55-14,서울시  문정동 55-14,127.122715,37.486585
동궁리치웰문정(1차),문정동 55-3,서울시  문정동 55-3,127.122622,37.486791
주성파크뷰,문정동 56-6,서울시  문정동 56-6,127.123571,37.484924
현대2,문정동 58,서울시  문정동 58,127.124598,37.484148
동부화이트빌,문정동 58-17,서울시  문정동 58-17,127.124327,37.48411
주성아트빌,문정동 61-11,서울시  문정동 61-11,127.124139,37.485667
파크하비오,문정동 618,서울시  문정동 618,127.123578,37.480491
현대(62-5),문정동 62-5,서울시  문정동 62-5,127.125881,37.485671
자이파인빌(101동),문정동 68-1,서울시  문정동 68-1,127.124787,37.483455
예그리나(2동),문정동 68-13,서울시  문정동 68-13,127.125862,37.483391
우민늘푸른,문정동 68-17,서울시  문정동 68-17,127.125139,37.483323
자이파인빌(102동),문정동 68-5,서울시  문정동 68-5,127.125363,37.483505
동궁리치웰(69-3),문정동 69-3,서울시  문정동 69-3,127.124532,37.483048
그랜빌캐슬,문정동 70-16,서울시  문정동 70-16,127.125122,37.482899
건영1,문정동 72-3,서울시  문정동 72-3,127.125849,37.481562
동부브리앙뜨1,문정동 74,서울시  문정동 74,127.125966,37.480265
아름빌,문정동 81-1,서울시  문정동 81-1,127.128079,37.482389
메트로IV,문정동 89-6,서울시  문정동 89-6,127.126765,37.483515
대림미소나눔,문정동 94-9,서울시  문정동 94-9,127.128546,37.483997
삼형,문정동 96-12,서울시  문정동 96-12,127.129374,37.483795
서소문,미근동 215,서울시  미근동 215,126.968457,37.563062
현대캐슬,미아동 133-12,서울시  미아동 133-12,127.030703,37.622238
두원프라자,미아동 1351,서울시  미아동 1351,127.026982,37.622649
미아신구,미아동 1352,서울시  미아동 1352,127.030507,37.626877
에스케이북한산시티,미아동 1353,서울시  미아동 1353,127.012545,37.617934
에스케이북한산시티(임대),미아동 1353-1,서울시  미아동 1353-1,127.014247,37.61939
벽산라이브파크,미아동 1354,서울시  미아동 1354,127.011043,37.620949
벽산라이브파크(임대),미아동 1354-1,서울시  미아동 1354-1,127.008969,37.619382
미아한일유앤아이,미아동 1355,서울시  미아동 1355,127.036465,37.614627
경남아너스빌(1356-0),미아동 1356,서울시  미아동 1356,127.035699,37.615188
삼각산아이원,미아동 1357,서울시  미아동 1357,127.017983,37.615276
삼각산아이원(임대),미아동 1357-2,서울시  미아동 1357-2,127.018651,37.616976
신일해피트리,미아동 1358,서울시  미아동 1358,127.031063,37.625935
이너스내안에,미아동 1361,서울시  미아동 1361,127.026468,37.632565
꿈의숲해링턴플레이스,미아동 1369,서울시  미아동 1369,127.034433,37.618529
한솔드림빌,미아동 137-17,서울시  미아동 137-17,127.029705,37.618824
신대상,미아동 137-7,서울시  미아동 137-7,127.03103,37.618907
요진,미아동 152,서울시  미아동 152,127.026921,37.633452
푸르지오시티,미아동 160-3,서울시  미아동 160-3,127.023784,37.634165
현대(190-2),미아동 190-2,서울시  미아동 190-2,127.025834,37.63074
동아하이빌14차,미아동 192-16,서울시  미아동 192-16,127.026431,37.631069
인성,미아동 224-40,서울시  미아동 224-40,127.024096,37.625959
한일,미아동 258-732,서울시  미아동 258-732,127.031032,37.626593
월드빌라(311-10),미아동 311-10,서울시  미아동 311-10,127.024702,37.622919
성북프라자,미아동 318-5,서울시  미아동 318-5,127.026419,37.6215
꿈의숲롯데캐슬,미아동 4,서울시  미아동 4,127.036452,37.617447
송천센트레빌,미아동 461,서울시  미아동 461,127.025686,37.612628
미아동부센트레빌,미아동 474,서울시  미아동 474,127.025741,37.613565
현대성우,미아동 561-2,서울시  미아동 561-2,127.022016,37.616968
경남아너스빌,미아동 796,서울시  미아동 796,127.018586,37.628869
미아1차래미안,미아동 797,서울시  미아동 797,127.019361,37.62592
미아에스에이치빌,미아동 797-8,서울시  미아동 797-8,127.019142,37.625314
두산위브트레지움,미아동 811,서울시  미아동 811,127.017038,37.618242
삼성래미안트리베라2단지,미아동 812,서울시  미아동 812,127.020368,37.617341
래미안트리베라1단지,미아동 813,서울시  미아동 813,127.020907,37.614246
스카이빌(8-87),미아동 8-87,서울시  미아동 8-87,127.038966,37.615728
반포푸르지오,반포동 10,서울시  반포동 10,126.996496,37.503817
그랜드빌(100-8),반포동 100-8,서울시  반포동 100-8,126.9964,37.494941
윌턴빌,반포동 103-1,서울시  반포동 103-1,126.997007,37.496901
서초블랑빌,반포동 105-14,서울시  반포동 105-14,126.997114,37.498227
정광아파트,반포동 107-19,서울시  반포동 107-19,126.996285,37.498463
브리앙뜨,반포동 107-52,서울시  반포동 107-52,126.995633,37.497349
반포대우멤버스카운티,반포동 111-11,서울시  반포동 111-11,126.995081,37.498002
반포에스케이뷰,반포동 112-15,서울시  반포동 112-15,126.993561,37.497503
반포래미안아이파크,반포동 1341,서울시  반포동 1341,127.013285,37.501787
반포써밋,반포동 1342,서울시  반포동 1342,127.017397,37.502146
반포 힐스테이트,반포동 16-6,서울시  반포동 16-6,126.99676,37.501008
래미안퍼스티지,반포동 18-1,서울시  반포동 18-1,126.998478,37.502825
반포자이,반포동 20-43,서울시  반포동 20-43,127.014411,37.506401
아크로리버파크,반포동 2-12,서울시  반포동 2-12,126.993887,37.506138
삼호가든맨션(5차),반포동 30-1,서울시  반포동 30-1,127.011413,37.503898
반포리체,반포동 30-26,서울시  반포동 30-26,127.013529,37.503807
태림리츠빌,반포동 3-3,서울시  반포동 3-3,126.995261,37.505681
엠브이아파트,반포동 46,서울시  반포동 46,127.010232,37.499121
대성유니드,반포동 48-2,서울시  반포동 48-2,127.009664,37.50018
일신반포빌라트,반포동 48-7,서울시  반포동 48-7,127.009648,37.499684
다우탑스빌라트,반포동 50-2,서울시  반포동 50-2,127.010827,37.500361
새서울빌라,반포동 50-6,서울시  반포동 50-6,127.011343,37.49977
쏠레뉴,반포동 53-2,서울시  반포동 53-2,127.010541,37.501413
반포두산힐스빌,반포동 54-5,서울시  반포동 54-5,127.009888,37.501245
반포 루이캐슬,반포동 550,서울시  반포동 550,127.00111,37.497909
반포서래 월드메르디앙스칼라아파트 B동,반포동 550-27,서울시  반포동 550-27,127.001208,37.497351
반포서래 월드메르디앙스칼라아파트 A동,반포동 550-34,서울시  반포동 550-34,127.001403,37.497164
베로니스6차,반포동 551-67,서울시  반포동 551-67,127.001612,37.49676
몽마르뜨빌(577-3),반포동 577-3,서울시  반포동 577-3,126.999229,37.494803
몽마르뜨빌(577-4),반포동 577-4,서울시  반포동 577-4,126.999445,37.494769
삼광,반포동 577-47,서울시  반포동 577-47,127.000828,37.493654
반포미도,반포동 60-4,서울시  반포동 60-4,127.008735,37.501172
반포미도2차아파트,반포동 60-5,서울시  반포동 60-5,127.007588,37.502406
선데일,반포동 612-115,서울시  반포동 612-115,126.993499,37.496223
새티스,반포동 612-138,서울시  반포동 612-138,126.991933,37.497507
아델스빌1,반포동 612-31,서울시  반포동 612-31,126.993661,37.496855
현대동궁아파트,반포동 64-5,서울시  반포동 64-5,127.002333,37.50037
궁전,반포동 65-1,서울시  반포동 65-1,127.00065,37.500212
라인,반포동 70,서울시  반포동 70,126.999933,37.498881
한신서래,반포동 70-1,서울시  반포동 70-1,127.000925,37.499106
반포훼미리(104동),반포동 701-1,서울시  반포동 701-1,127.016887,37.509134
써니힐,반포동 701-31,서울시  반포동 701-31,127.017566,37.509049
보아스힐(701-4),반포동 701-4,서울시  반포동 701-4,127.017202,37.509217
반포훼미리(103동),반포동 702-1,서울시  반포동 702-1,127.017163,37.508748
반포훼미리(102동),반포동 712-19,서울시  반포동 712-19,127.017503,37.507877
반포TS프리우스,반포동 71-3,서울시  반포동 71-3,127.000087,37.498342
반포훼미리(101동),반포동 713-1,서울시  반포동 713-1,127.017597,37.507545
삼성에이스빌,반포동 726-16,서울시  반포동 726-16,127.020327,37.506423
반포팰리스,반포동 728-7,서울시  반포동 728-7,127.018623,37.506075
상지리츠빌(73-10),반포동 73-10,서울시  반포동 73-10,127.000162,37.497766
상지리츠빌(73-2),반포동 73-2,서울시  반포동 73-2,127.00016,37.497955
산호아파트,반포동 741-5,서울시  반포동 741-5,127.021008,37.504491
반포 주공1단지,반포동 757,서울시  반포동 757,126.989114,37.505232
타운빌,반포동 76-2,서울시  반포동 76-2,126.999978,37.497206
해오름,반포동 78-8,서울시  반포동 78-8,126.999582,37.496329
덕동반포빌라트,반포동 79-1,서울시  반포동 79-1,127.00028,37.496587
반포동 피카소빌,반포동 79-5,서울시  반포동 79-5,127.000251,37.496244
현대,반포동 814,서울시  반포동 814,126.986788,37.502446
금정노블,반포동 81-8,서울시  반포동 81-8,127.001162,37.495756
반포 샤인힐 4차,반포동 82-19,서울시  반포동 82-19,127.000655,37.494752
APELBAUM,반포동 82-7,서울시  반포동 82-7,127.001681,37.495004
화천빌리지,반포동 83-10,서울시  반포동 83-10,127.00175,37.494067
대백세인트빌,반포동 87-5,서울시  반포동 87-5,126.999167,37.495271
반포서래빌,반포동 87-7,서울시  반포동 87-7,126.999158,37.495082
서래 아르드빌,반포동 88-4,서울시  반포동 88-4,126.998478,37.495157
테마하우스,반포동 95-1,서울시  반포동 95-1,126.99789,37.498549
에이아이디차관주택,반포동 968,서울시  반포동 968,126.991144,37.500645
프라임 빌라트,반포동 98-4,서울시  반포동 98-4,126.997785,37.495385
엘리제빌,반포동 99-1,서울시  반포동 99-1,126.99689,37.494666
반포 이안애 1차,반포동 99-2,서울시  반포동 99-2,126.996449,37.494698
삼환나띠르빌(1002-10),방배동 1002-10,서울시  방배동 1002-10,127.005454,37.47997
삼환나띠르빌(1002-11),방배동 1002-11,서울시  방배동 1002-11,127.005524,37.479799
삼환나띠르빌(1002-21),방배동 1002-21,서울시  방배동 1002-21,127.005069,37.480859
삼환나띠르빌(1002-22),방배동 1002-22,서울시  방배동 1002-22,127.005081,37.480814
삼환나띠르빌(1002-8),방배동 1002-8,서울시  방배동 1002-8,127.005209,37.480473
삼환나띠르빌(1002-9),방배동 1002-9,서울시  방배동 1002-9,127.005326,37.480176
서초이에스에이3차,방배동 1006-1,서울시  방배동 1006-1,127.005841,37.478874
래미안방배아트힐(1008-2),방배동 1008-2,서울시  방배동 1008-2,127.005169,37.47758
방배임광,방배동 1010-1,서울시  방배동 1010-1,127.003309,37.476276
임광,방배동 1015,서울시  방배동 1015,127.002519,37.477035
삼익,방배동 1018-1,서울시  방배동 1018-1,127.001592,37.478721
신구블레스밸리,방배동 1019-3,서울시  방배동 1019-3,127.001138,37.478005
아이리스,방배동 1021-9,서울시  방배동 1021-9,127.000146,37.479484
방배신동아럭스빌,방배동 1026-14,서울시  방배동 1026-14,127.00113,37.475212
대우로얄빌라트(1027-1),방배동 1027-1,서울시  방배동 1027-1,126.999901,37.474931
공작빌라트,방배동 1029-1,서울시  방배동 1029-1,126.998488,37.477478
삼호한숲,방배동 1030-1,서울시  방배동 1030-1,126.998836,37.47768
대우(효령),방배동 1038,서울시  방배동 1038,126.993744,37.479664
프레스턴(1-119),방배동 1-119,서울시  방배동 1-119,126.993835,37.495685
방배아펠바움,방배동 1-15,서울시  방배동 1-15,126.994213,37.495256
그랑씨엘3차,방배동 1-19,서울시  방배동 1-19,126.993972,37.494713
UPPERHOUSE,방배동 12-1,서울시  방배동 12-1,126.992778,37.496063
UPPER HOUSE 2,방배동 12-5,서울시  방배동 12-5,126.992624,37.49572
방배1차현대홈타운,방배동 1344,서울시  방배동 1344,126.983913,37.488473
상지리츠빌8차,방배동 1-35,서울시  방배동 1-35,126.99352,37.495529
베로니스5차,방배동 1-39,서울시  방배동 1-39,126.993564,37.494782
라파예트,방배동 1-43,서울시  방배동 1-43,126.993214,37.494752
방배한화,방배동 169-24,서울시  방배동 169-24,126.998515,37.484786
방배동갤러리하우스3,방배동 1-7,서울시  방배동 1-7,126.99397,37.49401
방배2차현대홈타운,방배동 2001,서울시  방배동 2001,126.983915,37.489978
방배3차현대홈타운,방배동 2233,서울시  방배동 2233,126.983681,37.491399
방배우성,방배동 2525,서울시  방배동 2525,126.982953,37.474147
삼성래미안1,방배동 2626,서울시  방배동 2626,126.98399,37.472741
방배 SH-VILLE 임대아파트,방배동 2626-3,서울시  방배동 2626-3,126.983457,37.472052
한신휴플러스,방배동 3000-1,서울시  방배동 3000-1,126.982616,37.486551
디오수페리움2,방배동 3001-1,서울시  방배동 3001-1,126.982613,37.485948
방배디오슈페리움Ⅰ,방배동 3001-2,서울시  방배동 3001-2,126.983031,37.485933
동부센트레빌,방배동 3275,서울시  방배동 3275,126.987996,37.497617
한진로즈힐,방배동 3276,서울시  방배동 3276,126.983277,37.486179
방배아이파크,방배동 3277,서울시  방배동 3277,126.984933,37.49159
방배아트자이,방배동 3278,서울시  방배동 3278,127.002462,37.479647
방배 서리풀 그랑블,방배동 3279,서울시  방배동 3279,126.996879,37.484529
서리풀프라젠 아파트,방배동 3281,서울시  방배동 3281,126.991388,37.489222
세양아르비채101동,방배동 421-1,서울시  방배동 421-1,126.983665,37.48502
롯데캐슬아르떼,방배동 424-28,서울시  방배동 424-28,126.984308,37.483511
세양아르비채102동,방배동 425-1,서울시  방배동 425-1,126.98331,37.48453
예림,방배동 432-10,서울시  방배동 432-10,126.985977,37.48212
정림,방배동 434-3,서울시  방배동 434-3,126.98561,37.48173
SK리더스뷰(파스텔시티),방배동 444-3,서울시  방배동 444-3,126.982181,37.477726
방배신주,방배동 449-1,서울시  방배동 449-1,126.983994,37.477436
신주,방배동 449-3,서울시  방배동 449-3,126.984279,37.477249
덕산럭스,방배동 460-1,서울시  방배동 460-1,126.985497,37.480873
두원,방배동 473-1,서울시  방배동 473-1,126.985458,37.477881
방배리치빌,방배동 474-9,서울시  방배동 474-9,126.986242,37.477626
파라다이스(477-7),방배동 477-7,서울시  방배동 477-7,126.987484,37.476916
루이스캐슬,방배동 478-8,서울시  방배동 478-8,126.987091,37.476714
방배홈타운(479-11),방배동 479-11,서울시  방배동 479-11,126.987282,37.47595
방배엔스위트,방배동 481-11,서울시  방배동 481-11,126.987928,37.475812
방배아트 e편한세상 101,방배동 484-2,서울시  방배동 484-2,126.990419,37.475517
방배아트 e-편한세상 103,방배동 484-6,서울시  방배동 484-6,126.991124,37.475244
방배래미안타워,방배동 485-3,서울시  방배동 485-3,126.991188,37.474704
방배아트 e편한세상 105,방배동 486-4,서울시  방배동 486-4,126.991873,37.475034
방배아트 e-편한세상 106,방배동 486-8,서울시  방배동 486-8,126.992259,37.474929
리베하임,방배동 488-2,서울시  방배동 488-2,126.993317,37.474416
신호,방배동 537-9,서울시  방배동 537-9,126.989881,37.478531
방배대우(562-1),방배동 562-1,서울시  방배동 562-1,126.990842,37.476044
방배호원,방배동 593-32,서울시  방배동 593-32,126.993783,37.475952
용성빌리지,방배동 593-51,서울시  방배동 593-51,126.994175,37.475387
방배신삼호,방배동 725,서울시  방배동 725,126.989868,37.497183
태화빌라(733),방배동 733,서울시  방배동 733,126.991952,37.496939
LEGARDEN THE MAIN 9 th,방배동 734,서울시  방배동 734,126.992588,37.496747
방배아크로리버,방배동 752-36,서울시  방배동 752-36,126.984061,37.497548
롯데캐슬헤론,방배동 754-1,서울시  방배동 754-1,126.984198,37.49663
삼호3,방배동 757-3,서울시  방배동 757-3,126.986924,37.497437
삼호2,방배동 758-4,서울시  방배동 758-4,126.987423,37.496468
청광(761-5),방배동 761-5,서울시  방배동 761-5,126.985219,37.495575
푸른마을,방배동 763-12,서울시  방배동 763-12,126.983986,37.495583
정석빌라,방배동 763-29,서울시  방배동 763-29,126.984318,37.496117
삼호 1동~3동,방배동 770-1,서울시  방배동 770-1,126.987619,37.495371
현대멤피스,방배동 772-13,서울시  방배동 772-13,126.98838,37.495125
래미안방배에버뉴,방배동 775-1,서울시  방배동 775-1,126.988236,37.494042
쌍용예가클래식,방배동 776-3,서울시  방배동 776-3,126.987495,37.493658
방배타운하우스,방배동 790-26,서울시  방배동 790-26,126.986416,37.492306
동광빌라트,방배동 791-10,서울시  방배동 791-10,126.987282,37.49271
방배5차상지리츠빌,방배동 797-22,서울시  방배동 797-22,126.993596,37.494115
방배3차 e-편한세상,방배동 797-30,서울시  방배동 797-30,126.991727,37.494306
월드빌라트(798-5),방배동 798-5,서울시  방배동 798-5,126.996312,37.493958
힐스나인빌리지,방배동 799-5,서울시  방배동 799-5,126.997263,37.493029
나인빌,방배동 800-3,서울시  방배동 800-3,126.996795,37.493367
멤피스빌,방배동 800-9,서울시  방배동 800-9,126.996577,37.492744
방배대우멤버스카운티502,방배동 801-5,서울시  방배동 801-5,126.996006,37.493145
신한엔시모,방배동 802-4,서울시  방배동 802-4,126.995442,37.493005
노블씨티,방배동 802-8,서울시  방배동 802-8,126.995572,37.492636
포렛힐,방배동 803-4,서울시  방배동 803-4,126.995036,37.493776
베로니스2차,방배동 803-9,서울시  방배동 803-9,126.994397,37.49341
코트빌,방배동 804-9,서울시  방배동 804-9,126.99488,37.492766
서리풀 래디앙아파트,방배동 805-14,서울시  방배동 805-14,126.994174,37.492291
방배힐1차,방배동 806-1,서울시  방배동 806-1,126.992945,37.492875
나스빌3차,방배동 806-13,서울시  방배동 806-13,126.993522,37.492033
방배갤러리,방배동 806-3,서울시  방배동 806-3,126.993363,37.492897
방배다움샤인힐,방배동 806-9,서울시  방배동 806-9,126.993394,37.492302
노블하임,방배동 807-5,서울시  방배동 807-5,126.992994,37.493398
벨루체팰리스,방배동 808-10,서울시  방배동 808-10,126.993091,37.492111
디오엠프리미어,방배동 808-3,서울시  방배동 808-3,126.992756,37.492666
리치팰리스,방배동 808-8,서울시  방배동 808-8,126.992661,37.492116
방배팰리스빌라,방배동 809-14,서울시  방배동 809-14,126.992274,37.491482
방배대우멤버스카운티(809-17),방배동 809-17,서울시  방배동 809-17,126.992024,37.492435
방배대우멤버스카운티201,방배동 809-26,서울시  방배동 809-26,126.992416,37.491834
The Herren,방배동 812-1,서울시  방배동 812-1,126.990278,37.491906
이연아마빌레,방배동 814-31,서울시  방배동 814-31,126.989505,37.492188
설록,방배동 815-22,서울시  방배동 815-22,126.990186,37.491149
한신트리플,방배동 816-1,서울시  방배동 816-1,126.989281,37.491204
현대오페라하우스,방배동 825-12,서울시  방배동 825-12,126.984886,37.490049
보아스방배,방배동 831-6,서울시  방배동 831-6,126.988366,37.489421
방배씨티(보성),방배동 836-1,서울시  방배동 836-1,126.991043,37.490489
영진,방배동 836-4,서울시  방배동 836-4,126.991273,37.490203
방배샤인힐6차,방배동 840-1,서울시  방배동 840-1,126.993996,37.491253
상지리츠빌7차,방배동 840-12,서울시  방배동 840-12,126.99455,37.491213
폴라씨엘로,방배동 840-4,서울시  방배동 840-4,126.994625,37.49152
방배대우멤버스카운티301,방배동 841-12,서울시  방배동 841-12,126.99443,37.491735
판테옹빌라,방배동 841-2,서울시  방배동 841-2,126.993799,37.491594
파인빌리지,방배동 843-1,서울시  방배동 843-1,126.995034,37.492271
상지리츠빌6차,방배동 843-10,서울시  방배동 843-10,126.996415,37.492184
상지리츠빌3차,방배동 843-15,서울시  방배동 843-15,126.99524,37.492048
Venessere,방배동 843-6,서울시  방배동 843-6,126.995937,37.492387
성지라빌레뜨(845-1),방배동 845-1,서울시  방배동 845-1,126.996873,37.492548
프리우스,방배동 846-1,서울시  방배동 846-1,126.996916,37.491873
렉스빌,방배동 847-25,서울시  방배동 847-25,126.99646,37.491337
비젼21(2차),방배동 849-1,서울시  방배동 849-1,126.994592,37.490655
방배비젼21빌라트,방배동 849-2,서울시  방배동 849-2,126.9946,37.490907
방배롯데캐슬로제,방배동 849-30,서울시  방배동 849-30,126.994633,37.490096
현대쉴러하우스,방배동 853-19,서울시  방배동 853-19,126.991893,37.488685
방배마에스트로,방배동 866-10,서울시  방배동 866-10,126.98388,37.485896
방배대우디오빌,방배동 866-20,서울시  방배동 866-20,126.984173,37.48597
방배삼성홈타운(101),방배동 877-4,서울시  방배동 877-4,126.994647,37.489087
방배삼성홈타운(102),방배동 877-6,서울시  방배동 877-6,126.99482,37.488845
한화엘르빌,방배동 878-27,서울시  방배동 878-27,126.995519,37.489816
방배2차e-편한세상,방배동 881-26,서울시  방배동 881-26,126.996853,37.489845
황실자이,방배동 883-9,서울시  방배동 883-9,126.999264,37.488847
대림e-편한세상1,방배동 884-21,서울시  방배동 884-21,126.998941,37.487628
방배자이,방배동 888-53,서울시  방배동 888-53,126.999059,37.486395
방배CJ나인빌2차,방배동 889-6,서울시  방배동 889-6,126.998169,37.486135
브라운스톤방배,방배동 899-16,서울시  방배동 899-16,126.995074,37.486721
서리풀e편한세상,방배동 906-13,서울시  방배동 906-13,126.998369,37.483857
태림,방배동 912-13,서울시  방배동 912-13,126.995598,37.4814
방배 서리풀 힐스,방배동 915-16,서울시  방배동 915-16,126.99463,37.481059
서초훼미리하우스,방배동 917-4,서울시  방배동 917-4,126.994014,37.480621
광해리드빌,방배동 917-5,서울시  방배동 917-5,126.993863,37.48089
멤버스빌,방배동 918-14,서울시  방배동 918-14,126.99331,37.481687
방배아크로타워,방배동 923-6,서울시  방배동 923-6,126.99518,37.483046
그린,방배동 926-7,서울시  방배동 926-7,126.994061,37.484676
퍼시픽56차,방배동 929-4,서울시  방배동 929-4,126.992354,37.483833
방배브라운가,방배동 930-1,서울시  방배동 930-1,126.991772,37.483422
카사벨라(939-9),방배동 939-9,서울시  방배동 939-9,126.991336,37.486392
자현유하우스,방배동 940-4,서울시  방배동 940-4,126.990841,37.486217
금강프리빌,방배동 940-8,서울시  방배동 940-8,126.991273,37.485986
네스코,방배동 956-8,서울시  방배동 956-8,126.986212,37.48314
대성유니드,방배동 957-7,서울시  방배동 957-7,126.986836,37.482993
방배승원아트빌,방배동 970-13,서울시  방배동 970-13,126.987646,37.481657
뉴캐슬,방배동 971-1,서울시  방배동 971-1,126.988162,37.481067
네스코뮤즈빌(B),방배동 971-7,서울시  방배동 971-7,126.987875,37.480587
모닝아트빌,방배동 976-15,서울시  방배동 976-15,126.991554,37.481916
프라하임1차,방배동 978-2,서울시  방배동 978-2,126.992334,37.481138
강남아트빌,방배동 980-41,서울시  방배동 980-41,126.990871,37.479729
신구,방배동 980-48,서울시  방배동 980-48,126.992045,37.479919
브라운스톤효령,방배동 981-40,서울시  방배동 981-40,126.995575,37.479751
방배현대멤피스2,방배동 982-1,서울시  방배동 982-1,126.998025,37.47997
엘르빌,방배동 985-15,서울시  방배동 985-15,126.999743,37.480868
신원아침도시,방배동 987-6,서울시  방배동 987-6,127.00032,37.480026
신동아,방배동 988-1,서울시  방배동 988-1,127.00139,37.48117
방배동동양파라곤,방배동 992-8,서울시  방배동 992-8,127.002575,37.48045
방배어울림,방배동 998,서울시  방배동 998,127.003612,37.478179
월드빌라트(999),방배동 999,서울시  방배동 999,127.004446,37.478385
몽촌(아),방이동 103-24,서울시  방이동 103-24,127.112136,37.51297
뉴파크플러스,방이동 107-18,서울시  방이동 107-18,127.113012,37.512544
부광,방이동 107-2,서울시  방이동 107-2,127.113189,37.512833
광명아파트,방이동 120-2,서울시  방이동 120-2,127.115612,37.509815
서경아파트,방이동 124-18,서울시  방이동 124-18,127.116833,37.508896
서울탑빌라트,방이동 126-5,서울시  방이동 126-5,127.117592,37.508784
보미리즌빌(101동),방이동 134,서울시  방이동 134,127.11956,37.510727
보미리즌빌(102동),방이동 134-17,서울시  방이동 134-17,127.119326,37.510428
해동아파트A동(134-5),방이동 134-5,서울시  방이동 134-5,127.119741,37.510675
광남,방이동 154-1,서울시  방이동 154-1,127.116289,37.513785
드림팰리스,방이동 154-10,서울시  방이동 154-10,127.116268,37.513622
주함위너스Ⅰ,방이동 154-21,서울시  방이동 154-21,127.117208,37.51353
방이금호어울림,방이동 157,서울시  방이동 157,127.118205,37.512438
한승,방이동 168,서울시  방이동 168,127.1203,37.514157
세원아파트,방이동 169-2,서울시  방이동 169-2,127.119223,37.51341
올림픽베어스타운1,방이동 171,서울시  방이동 171,127.11889,37.514768
원진아뜨리에,방이동 173-1,서울시  방이동 173-1,127.118397,37.514413
도무스빌,방이동 177,서울시  방이동 177,127.116834,37.515537
방이동그린파크,방이동 177-6,서울시  방이동 177-6,127.118389,37.515026
우광아파트,방이동 179-1,서울시  방이동 179-1,127.116048,37.515035
올림픽타워1,방이동 182,서울시  방이동 182,127.123956,37.512968
인택파크랜드,방이동 185,서울시  방이동 185,127.126915,37.511413
(185-5),방이동 185-5,서울시  방이동 185-5,127.126618,37.51069
옥산크리스탈,방이동 193-37,서울시  방이동 193-37,127.123559,37.512091
신구블레스밸리,방이동 197,서울시  방이동 197,127.122232,37.511432
현대홈타운스위트101,방이동 197-4,서울시  방이동 197-4,127.122196,37.510702
현대홈타운스위트102,방이동 198,서울시  방이동 198,127.122457,37.510623
현대홈타운스위트105,방이동 198-10,서울시  방이동 198-10,127.122488,37.510866
현대홈타운스위트103,방이동 198-3,서울시  방이동 198-3,127.122695,37.510562
코오롱아파트,방이동 212-8,서울시  방이동 212-8,127.123172,37.508466
대림,방이동 217,서울시  방이동 217,127.124144,37.507581
인택스빌,방이동 222,서울시  방이동 222,127.121045,37.507567
AQUADCASAS,방이동 223-13,서울시  방이동 223-13,127.121522,37.507327
한양3,방이동 225,서울시  방이동 225,127.122442,37.506072
신동아타워,방이동 39-2,서울시  방이동 39-2,127.110555,37.515562
파라다이스빌(40-0),방이동 40,서울시  방이동 40,127.110771,37.516473
이스턴잠실,방이동 46-1,서울시  방이동 46-1,127.112525,37.516369
에비뉴잠실,방이동 47-2,서울시  방이동 47-2,127.112957,37.516165
더원센트럴,방이동 48-3,서울시  방이동 48-3,127.11329,37.51578
현대주상복합,방이동 48-5,서울시  방이동 48-5,127.113192,37.515446
동광팰리스,방이동 50-10,서울시  방이동 50-10,127.114515,37.515501
올림픽파크리움,방이동 51,서울시  방이동 51,127.115012,37.515532
올림픽카운티,방이동 51-4,서울시  방이동 51-4,127.114556,37.514898
올림픽선수기자촌1단지,방이동 89,서울시  방이동 89,127.133377,37.514118
그린파크빌아파트,방이동 98-9,서울시  방이동 98-9,127.11132,37.514045
성원105동,방학동 266-3,서울시  방학동 266-3,127.03608,37.661144
신동아아파트1,방학동 271-1,서울시  방학동 271-1,127.026588,37.660705
삼익세라믹아파트,방학동 274,서울시  방학동 274,127.03395,37.661099
벽산아파트1,방학동 275,서울시  방학동 275,127.03199,37.660137
대원그린아파트,방학동 444-31,서울시  방학동 444-31,127.02808,37.662718
벽산아파트2,방학동 496,서울시  방학동 496,127.025206,37.658901
우성아파트1,방학동 507,서울시  방학동 507,127.023661,37.657437
우성아파트2,방학동 508,서울시  방학동 508,127.021936,37.656783
선덕빌라트아파트,방학동 519-1,서울시  방학동 519-1,127.021007,37.657587
북한산팰리스아파트,방학동 522,서울시  방학동 522,127.021502,37.657852
신동아아파트3,방학동 530,서울시  방학동 530,127.02299,37.660189
신동아아파트2,방학동 531,서울시  방학동 531,127.02339,37.659129
태양아파트,방학동 612-2,서울시  방학동 612-2,127.031326,37.667646
동일아파트,방학동 621-6,서울시  방학동 621-6,127.035328,37.668427
송학휴스테이,방학동 636,서울시  방학동 636,127.036164,37.666938
청화아파트,방학동 669-7,서울시  방학동 669-7,127.032774,37.661765
동부센트레빌아파트,방학동 689,서울시  방학동 689,127.039087,37.663484
부영팰리스,방학동 690-3,서울시  방학동 690-3,127.037437,37.663975
신주아파트B,방학동 695-21,서울시  방학동 695-21,127.036097,37.664198
거성학마을아파트,방학동 701-15,서울시  방학동 701-15,127.039671,37.666543
