건물명,주소,입력주소,경도,위도
현진에버빌,신대방동 716,서울시  신대방동 716,126.907036,37.485813
신동아파밀리에,신대방동 717,서울시  신대방동 717,126.914616,37.491794
성원상떼빌,신대방동 719,서울시  신대방동 719,126.906685,37.487441
보라매 e편한세상,신대방동 720,서울시  신대방동 720,126.928485,37.495408
미성,신도림동 290,서울시  신도림동 290,126.876604,37.507261
성광빌딩,신도림동 309-6,서울시  신도림동 309-6,126.884451,37.51121
우성1,신도림동 312-17,서울시  신도림동 312-17,126.885748,37.511456
신도림2차푸르지오,신도림동 338,서울시  신도림동 338,126.889359,37.510526
신도림팰러티움,신도림동 412-3,서울시  신도림동 412-3,126.881789,37.503913
SK VIEW,신도림동 432-1,서울시  신도림동 432-1,126.886439,37.506849
신도림3차푸르지오,신도림동 435-10,서울시  신도림동 435-10,126.884006,37.506899
우성3,신도림동 637,서울시  신도림동 637,126.884176,37.512982
우성5,신도림동 638,서울시  신도림동 638,126.884182,37.51255
우성2,신도림동 639,서울시  신도림동 639,126.885424,37.512003
신성은하수,신도림동 640,서울시  신도림동 640,126.887208,37.507641
현대홈타운아파트,신도림동 641,서울시  신도림동 641,126.88394,37.512106
대림2,신도림동 642,서울시  신도림동 642,126.880596,37.505767
동아1,신도림동 643,서울시  신도림동 643,126.882871,37.510988
동아2,신도림동 644,서울시  신도림동 644,126.885885,37.508367
동아3,신도림동 645,서울시  신도림동 645,126.884112,37.509684
대림e-편한세상4,신도림동 646,서울시  신도림동 646,126.886835,37.510656
대림e-편한세상5,신도림동 647,서울시  신도림동 647,126.880679,37.507074
대림e-편한세상6,신도림동 648,서울시  신도림동 648,126.882726,37.505526
대림e-편한세상7,신도림동 649,서울시  신도림동 649,126.882796,37.508455
대림3,신도림동 691,서울시  신도림동 691,126.878002,37.506824
디큐브시티,신도림동 692,서울시  신도림동 692,126.888992,37.508576
신도림아이파크,신도림동 693,서울시  신도림동 693,126.888433,37.511202
신도림크라운빌,신도림동 694,서울시  신도림동 694,126.88413,37.50772
신도림 아르디에,신도림동 695,서울시  신도림동 695,126.887552,37.50731
신안,신림동 10-10,서울시  신림동 10-10,126.933542,37.48174
성우,신림동 10-622,서울시  신림동 10-622,126.937282,37.48353
도안스위트빌,신림동 1417-43,서울시  신림동 1417-43,126.930305,37.487513
신림큐브,신림동 1421-1,서울시  신림동 1421-1,126.93204,37.485582
윤성타워,신림동 1423-10,서울시  신림동 1423-10,126.930235,37.486098
온누리,신림동 1423-8,서울시  신림동 1423-8,126.930504,37.486244
태영,신림동 1424-28,서울시  신림동 1424-28,126.92995,37.485446
코스모그린,신림동 1425-4,서울시  신림동 1425-4,126.929459,37.487361
가야위드안,신림동 1426-7,서울시  신림동 1426-7,126.930121,37.486962
보라매팰리스,신림동 1432-105,서울시  신림동 1432-105,126.92824,37.485665
블루밍하우스(1432-108),신림동 1432-108,서울시  신림동 1432-108,126.928335,37.485351
한신,신림동 1432-28,서울시  신림동 1432-28,126.928283,37.486621
자이바움,신림동 1432-4,서울시  신림동 1432-4,126.927517,37.487181
YJ빌딩,신림동 1433-17,서울시  신림동 1433-17,126.928578,37.484956
프라비다트라움,신림동 1433-55,서울시  신림동 1433-55,126.928082,37.484808
쎄븐스에비뉴,신림동 1458-6,서울시  신림동 1458-6,126.925517,37.487082
지붕위애,신림동 1463-11,서울시  신림동 1463-11,126.92496,37.485671
삼성,신림동 1474-6,서울시  신림동 1474-6,126.913167,37.481022
테라스시티,신림동 1475-26,서울시  신림동 1475-26,126.914318,37.480339
미래한건(1563-78),신림동 1563-78,서울시  신림동 1563-78,126.915493,37.474133
한양,신림동 1563-82,서울시  신림동 1563-82,126.914888,37.472983
푸리마타운,신림동 1639-51,서울시  신림동 1639-51,126.927436,37.483324
라이프미성,신림동 1656,서울시  신림동 1656,126.903244,37.482246
호등 자이젠 아파트(1665-9),신림동 1665-9,서울시  신림동 1665-9,126.900787,37.480205
쌍용,신림동 1686,서울시  신림동 1686,126.911813,37.472207
국제산장,신림동 1693,서울시  신림동 1693,126.927725,37.46072
신림현대,신림동 1694,서울시  신림동 1694,126.932496,37.475017
동부,신림동 1695,서울시  신림동 1695,126.929217,37.480601
동문,신림동 1696,서울시  신림동 1696,126.935767,37.476308
태흥,신림동 1698,서울시  신림동 1698,126.93093,37.465876
동마,신림동 1699,서울시  신림동 1699,126.930795,37.464216
라이프,신림동 1700,서울시  신림동 1700,126.913134,37.477012
건영4,신림동 1702-1,서울시  신림동 1702-1,126.933121,37.48033
LIG 대학마을(건영아파트3차),신림동 1703-1,서울시  신림동 1703-1,126.942727,37.466982
주공1,신림동 1704-1,서울시  신림동 1704-1,126.927922,37.465938
금호(1차),신림동 1705,서울시  신림동 1705,126.937561,37.465395
금호2,신림동 1706,서울시  신림동 1706,126.944282,37.468149
초원,신림동 1712,서울시  신림동 1712,126.91398,37.473245
신림2단지주공(임대),신림동 1713,서울시  신림동 1713,126.926685,37.463918
삼성산주공(주공3단지),신림동 1714,서울시  신림동 1714,126.92613,37.462399
우방,신림동 1715,서울시  신림동 1715,126.918829,37.488985
청광,신림동 1716,서울시  신림동 1716,126.941949,37.467669
두영,신림동 1717,서울시  신림동 1717,126.913846,37.474712
보라매갑을,신림동 1718,서울시  신림동 1718,126.921837,37.489004
우민조원,신림동 1719,서울시  신림동 1719,126.90748,37.484114
에셀비전21,신림동 1720,서울시  신림동 1720,126.923759,37.479587
우정하이비전,신림동 1721,서울시  신림동 1721,126.929177,37.471464
신림동신도브래뉴,신림동 1722,서울시  신림동 1722,126.911557,37.483602
서초,신림동 1724,서울시  신림동 1724,126.932046,37.463723
로마,신림동 1725,서울시  신림동 1725,126.935224,37.484323
우정하이비전2,신림동 1726,서울시  신림동 1726,126.928717,37.470442
그대家,신림동 1727,서울시  신림동 1727,126.919187,37.469625
제창그로힐,신림동 1728,서울시  신림동 1728,126.910434,37.484673
청화,신림동 1729,서울시  신림동 1729,126.932657,37.463657
신림푸르지오,신림동 1730,서울시  신림동 1730,126.910504,37.479033
서초그린,신림동 1732,서울시  신림동 1732,126.941558,37.468918
벽산블루밍,신림동 1733,서울시  신림동 1733,126.931173,37.463877
신림동부센트레빌,신림동 1734,서울시  신림동 1734,126.916288,37.473113
관악산휴먼시아 2단지,신림동 1735,서울시  신림동 1735,126.920018,37.459009
