건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균
미아에스에이치빌, 미아동 797-8,3층,2020 9 16,"     6,514/         2",30.13,9.1,2007,6937.048665620095,2.0408163265306127
한진, 번동 658,14층,2020 9 3,"    25,000/         0",58.65,17.7,2000,11641.001121150168,0.0
주공2단지, 번동 241,9층,2020 9 22,"     1,220/        13",36.54,11.1,1991,428.5440950626456,7.023903217281129
FIRSTVIEW, 수유동 274-3,4층,2020 9 5,"     2,000/       100",52.88,16.0,2010,11791.272655634357,10.416666666666668
화계맨숀, 수유동 461-13,5층,2020 9 7,"    14,500/         0",58.51,17.7,1975,7485.875706214691,0.0
진안골드밸리, 수유동 562-4,3층,2020 9 8,"    10,000/        40",145.33,44.0,2001,2272.727272727273,9.09090909090909
수유역하이씨티, 수유동 733,5층,2020 9 18,"     2,000/        32",12.33,3.7,2014,9809.809809809809,60.33533533533532
더나인, 신설동 89-38,6층,2020 9 26,"     6,000/        25",14.72,4.5,2012,9623.87470711555,59.84297282854442
한신휴플러스그린파크, 답십리동 1001,4층,2020 9 7,"    51,000/         0",84.98,25.7,2010,21434.41550148016,2.0035685878281058
래미안엘파인(임대), 답십리동 1000-1,6층,2020 9 14,"     5,858/        11",30.13,9.1,2011,4516.043956043955,22.637362637362635
N&S파크타운, 장안동 346-28,5층,2020 9 5,"    19,000/         0",39.63,12.0,2012,15833.333333333332,0.0
르메이에르7차(313-8), 장안동 313-8,5층,2020 9 7,"    45,000/         0",84.99,25.7,2005,15573.04563141139,0.0
장안동신일해피트리, 장안동 568,8층,2020 9 7,"    15,000/       100",84.97,25.7,2005,8404.66926070039,25.68093385214008
선일크라시아, 장안동 344-5,11층,2020 9 9,"    32,000/         0",66.56,20.1,2008,15920.398009950248,0.0
르미에르장안타운5차, 장안동 335-8,5층,2020 9 10,"    25,700/         0",84.85,25.7,2005,10000.0,0.0
스타파크아파트, 장안동 456-8,2층,2020 9 11,"    34,000/         0",59.95,18.1,2016,19060.77348066298,0.0
태솔아파트5차, 장안동 334-3,8층,2020 9 11,"    41,000/         0",54.62,16.5,2020,24368.070953436803,0.0
태솔타운3차, 장안동 367-11,10층,2020 9 18,"    32,000/         0",55.25,16.7,2014,17966.506012365513,0.0
비젼(437-2), 장안동 437-2,5층,2020 9 20,"    38,000/         0",97.66,29.5,2005,11686.84991203705,0.0
신부파스카(319-2), 장안동 319-2,7층,2020 9 23,"     4,000/        85",68.65,20.8,2004,10757.757158535369,13.621794871794872
프라하임 장안1, 장안동 432-11,7층,2020 9 25,"    23,000/         0",17.84,5.4,2020,37204.31744411843,0.0
태솔타워, 장안동 364-9,9층,2020 9 26,"     8,000/        75",46.82,14.2,2012,14013.492721032073,13.204225352112678
