건물명,주소,경도,위도
노량진큐브스테이트, 노량진동 267-6,126.934649,37.51285927
(39-9), 노량진동 39-9,126.9385336,37.51259235
태영 오피스텔, 노량진동 56-11,126.9413245,37.51266352
메가스터디타워, 노량진동 57-1,126.9416914,37.51292406
"	(131-14)	", 녹번동 131-14,126.9281277,37.60834966
스카이 타워, 녹번동 144-100,126.9235314,37.60698355
에스클래스, 녹번동 144-43,126.9234117,37.60661848
대경아르체, 녹번동 176-3,126.9219527,37.60236052
마하나임, 녹번동 176-4,126.9218544,37.60223941
로하스 오피스텔, 녹번동 176-6,126.9221958,37.60220108
거장메카, 녹번동 183-2,126.9278989,37.60213589
은평 미드스퀘어, 녹번동 19-121,126.9353361,37.6034376
오피스텔수안, 녹번동 27-7,126.9331393,37.60626308
녹번동메카오피스텔, 녹번동 35-21,126.9346626,37.60344236
녹번동오피스텔, 녹번동 35-75,126.9346343,37.60319127
에스엠벨리체, 녹번동 80-8,126.9237564,37.60588771
펠리체, 녹번동 83-11,126.9279277,37.60280858
샹그리라, 녹번동 83-58,126.9284733,37.60266044
다베로, 녹번동 83-62,126.9275977,37.60249461
군자 아델리제, 능동 222-2,127.0810732,37.55614687
(222-7), 능동 222-7,127.0807958,37.55599641
노블레스 빌, 능동 255-18,127.0873631,37.55370483
"	(283-15)	", 능동 283-15,127.0780334,37.55384445
대방오피스텔, 대방동 337-1,126.9290034,37.49918448
대방동 오피스텔, 대방동 385-22,126.9225827,37.50490448
대방주상복합빌딩, 대방동 394-11,126.9274165,37.49996973
원노블레스, 대방동 394-25,126.9274,37.50014929
"	(394-5)	", 대방동 394-5,126.9276226,37.50014453
올리브 빌딩, 대방동 405-8,126.926854,37.49956417
"	(90-1)	", 대신동 90-1,126.945254,37.56483292
엠케이뷰오피스텔, 대조동 15-127,126.9302333,37.60863426
미래하임, 대조동 172-132,126.9202829,37.6096174
위산 엘리시움, 대조동 179-30,126.922333,37.60732014
스타타운, 대조동 186-10,126.9220023,37.61746327
연신내역마에스트로, 대조동 186-25,126.9224314,37.61712098
연신엘피스, 대조동 186-3,126.922208,37.61747078
오피스텔 원, 대조동 186-43,126.9223631,37.61687367
유진 아이디움, 대조동 197-1,126.9207723,37.61786806
경인에버빌, 대조동 197-16,126.9204169,37.61747502
도원빌딩, 대조동 197-20,126.9208117,37.61726341
(197-3), 대조동 197-3,126.9210156,37.6176376
상지하우스, 대조동 197-8,126.9206135,37.61750912
한리옥, 대조동 223-10,126.9180037,37.61307767
보성리엔빌, 대조동 223-3,126.9179897,37.61270758
"	(224-11)	", 대조동 224-11,126.9178969,37.61151877
태경쉐르빌, 대조동 224-7,126.9178929,37.61207724
스타타운 3차, 대조동 26-10,126.9264605,37.60935091
동양빌, 대조동 29-15,126.9257889,37.60940936
유림하이빌, 대조동 31-16,126.9263602,37.6100753
서원피렌체, 대조동 59-46,126.9233931,37.60761085
이지플오피스텔, 대조동 6-42,126.9277092,37.61119548
선릉역 롯데골드로즈오피스텔, 대치동 889-53,127.0507854,37.50417053
더 나인 오피스텔, 대치동 889-56,127.0510449,37.50405185
선릉역 롯데골드로즈2, 대치동 890-59,127.0521002,37.50414844
대치동 대우아이빌 명문가, 대치동 891-23,127.0535343,37.50508126
대치동대우아이빌멤버스, 대치동 891-26,127.053752,37.50463278
대치트레비스타 101동, 대치동 891-38,127.0547186,37.50544252
