건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균,건물형태,보증금평가,월세평가,경도,위도
샘물빌라,석촌동 272-17,2층,2020 10 5,"     6,700/        30",23.66,7.2,2011,9513.888888888889,45.13888888888889,연립/다세대,적정보증금,고월세,127.089835,37.503177
동심주택(54-43),석촌동 54-43,3층,2020 10 5,"     3,000/        45",23.3,7.0,2012,4197.651663405088,65.01956947162427,연립/다세대,적정보증금,고월세,127.124914,37.490034
터엘림,석촌동 53-10,4층,2020 10 5,"     1,000/        85",41.11,12.4,2002,806.4516129032257,68.54838709677419,연립/다세대,적정보증금,고월세,127.094158,37.504805
라온팰리스,석촌동 259-11,3층,2020 10 5,"     1,000/        50",26.58,8.0,2012,1250.0,62.5,연립/다세대,적정보증금,고월세,127.096387,37.503876
한사랑하우스,석촌동 150-36,3층,2020 10 7,"     2,000/        45",20.75,6.3,2002,4855.602868460846,46.780287217166226,연립/다세대,적정보증금,고월세,127.021376,37.600086
서희빌딩,석촌동 176-6,3층,2020 10 9,"     2,000/        58",18.83,5.7,2013,5275.512725475661,110.7363479120336,연립/다세대,적정보증금,고월세,127.152644,37.49785
GOODPEOPLEHOUSE,석촌동 250-10,2층,2020 10 10,"     3,000/        50",27.14,8.2,2012,2586.8440502586845,68.36659275683667,연립/다세대,적정보증금,고월세,127.023168,37.646612
솔모루집,석촌동 262-8,2층,2020 10 11,"     5,250/        42",16.38,5.0,2016,7762.955308655059,51.70396591281548,연립/다세대,적정보증금,고월세,127.134254,37.495942
J&JVillⅠ,석촌동 246-12,5층,2020 10 12,"     2,000/        75",31.0,9.4,2018,1730.4964539007092,81.22695035460994,연립/다세대,적정보증금,고월세,127.130628,37.505304
석촌그린빌(237-1),석촌동 237-1,3층,2020 10 13,"     2,500/        48",36.88,11.2,2003,2232.1428571428573,42.857142857142854,연립/다세대,적정보증금,고월세,127.089955,37.504439
(54-48),석촌동 54-48,2층,2020 10 15,"     2,000/        50",37.12,11.2,2012,2301.3078470824953,57.532696177062384,연립/다세대,적정보증금,고월세,127.090248,37.502675
(150-16),석촌동 150-16,3층,2020 10 16,"     1,000/        50",20.35,6.2,2003,5008.132285172133,52.92762266196802,연립/다세대,적정보증금,고월세,127.151811,37.499457
서원빌리지,석촌동 166-13,4층,2020 10 16,"     1,000/        53",29.53,8.9,2004,1123.5955056179776,58.98876404494382,연립/다세대,적정보증금,고월세,127.091503,37.502703
원평파크빌,석촌동 232-11,4층,2020 10 19,"     1,500/        85",41.03,12.4,2007,1209.6774193548388,68.54838709677419,연립/다세대,적정보증금,고월세,127.087589,37.500925
(239-18),석촌동 239-18,5층,2020 10 20,"     1,000/        67",32.46,9.8,2003,729.5023272466881,64.88542785535266,연립/다세대,적정보증금,고월세,127.096172,37.502
(58-20),석촌동 58-20,3층,2020 10 20,"     3,000/        63",36.68,11.1,2002,2294.747577766446,59.038755736868964,연립/다세대,적정보증금,고월세,127.093966,37.501118
상지아트빌,석촌동 263,4층,2020 10 22,"     3,000/        65",43.35,13.1,2002,3228.371501272265,45.642493638676854,연립/다세대,적정보증금,고월세,127.121273,37.490944
(213-15),석촌동 213-15,4층,2020 10 23,"     2,600/        52",21.67,6.6,2004,3939.39393939394,78.78787878787878,연립/다세대,적정보증금,고월세,127.087743,37.50219600000001
(250-4),석촌동 250-4,2층,2020 10 24,       500/        50,19.08,5.8,2003,862.0689655172414,86.20689655172414,연립/다세대,적정보증금,고월세,127.112379,37.513395
(253-6),석촌동 253-6,2층,2020 10 26,"     1,000/        70",17.98,5.4,2020,2421.151565078799,122.66413015476685,연립/다세대,적정보증금,고월세,127.016488,37.629824
(171-4),석촌동 171-4,3층,2020 10 28,"     1,000/        50",23.55,7.1,2010,1408.4507042253522,70.4225352112676,연립/다세대,적정보증금,고월세,127.127509,37.500217
(166-14),석촌동 166-14,2층,2020 10 30,"     1,500/        82",79.17,23.9,2004,1228.4416777222166,47.64261659352996,연립/다세대,적정보증금,고월세,127.157325,37.493919
