가게,주소,도로명주소,경도,위도
홈플러스 중계점,중계동 509-2,서울 노원구 동일로204가길 12,127.0686675,37.63986017
홈플러스 방학점,방학동 707-7,서울 도봉구 도봉로 678,127.0435415,37.66484676
홈플러스 영등포점,문래동3가 55-3,서울 영등포구 당산로 42,126.8959352,37.51823152
홈플러스 강동점,천호동 42,서울 강동구 양재대로 1571,127.142249,37.54568914
홈플러스스페셜 목동점,목동 919-7,서울 양천구 목동서로 170,126.8733039,37.53024888
홈플러스스페셜 동대문점,용두동 33-1,서울 동대문구 천호대로 133,127.0387685,37.57455192
롯데마트 서울역점,봉래동2가 122-23,서울 중구 한강대로 405,126.9703812,37.55590907
홈플러스 서울남현점,남현동 612-51,서울 관악구 과천대로 909,126.9824763,37.4714634
홈플러스 스페셜 시흥점,시흥동 992-47,서울 금천구 시흥대로 201,126.9008288,37.45188124
홈플러스 월곡점,하월곡동 46-73,서울 성북구 화랑로 76,127.040567,37.60175341
홈플러스 잠실점,신천동 7-12,서울 송파구 올림픽로35가길 16,127.1030173,37.51625457
홈플러스 서울상봉점,,서울 중랑구 상봉동 500,127.0905475,37.59807241
롯데마트 금천점,독산동 산 221-3,서울 금천구 시흥대로 291,126.8965322,37.45997216
홈플러스 스페셜 가양점,가양동 18-24,서울 강서구 양천로 431,126.849984,37.56426746
롯데마트 잠실점,잠실동 40-1,서울 송파구 올림픽로 240,127.0982712,37.51136202
홈플러스 신도림점,신도림동 337,서울 구로구 경인로 661 대우미래 사랑시티 지하1층,126.886989,37.50904782
롯데마트 삼양점,미아동 1359,서울 강북구 삼양로 247,127.0177243,37.62551125
롯데마트 청량리점,전농동 588-1,서울 동대문구 왕산로 214,127.0503634,37.57974595
롯데마트 은평점,진관동 80-25,서울 은평구 통일로 1050,126.917855,37.63750255
롯데마트 송파점,문정동 150-2,서울 송파구 중대로 80,127.1178325,37.49173983
홈플러스 면목점,면목동 168-2,서울 중랑구 사가정로 332,127.0820306,37.58053634
롯데마트 월드타워점,신천동 29,서울 송파구 올림픽로 300,127.101712,37.51284482
롯데마트 김포공항점,,서울 강서구 방화동 886,126.8029613,37.56681753
롯데마트 강변점,구의동 546-4,서울 광진구 광나루로56길 85,127.095742,37.53563986
홈플러스 신내점,신내동 645,서울 중랑구 신내로 201,127.0937279,37.6158163
롯데마트 행당역점,행당동 346,"서울 성동구 행당로 84 한진타운상가 지하 2,3층",127.0287237,37.55656757
킴스클럽 강남점,잠원동 70-2,서울 서초구 잠원로 51,127.0074394,37.50924072
킴스클럽 강서점,등촌동 689,서울 강서구 강서로56길 17,126.8405111,37.55995036
킴스클럽 목동점,목동 917-6,서울 양천구 목동동로 309 행복한세상백화점 지하1층,126.8759854,37.52920737
킴스클럽 구로점,고척동 76-41,서울 구로구 중앙로1길 36,126.8626598,37.49808473
킴스클럽 송파점,문정동 634,서울 송파구 충민로 66,127.1251168,37.47771921
킴스클럽 불광점,대조동 240,서울 은평구 불광로 20 NC백화점,126.928925,37.60971407
하나로클럽 창동점,창동 1-15,서울 도봉구 마들로11길 20,127.0526204,37.65581365
