주소,위도,경도
 화곡동 409-223,37.5361117083935,126.845456539694
 가리봉동 124-36,37.4816076806526,126.887251128798
 면목동 393-115,37.5717235108576,127.085141465116
 개봉동 305-2,37.4934730111025,126.853244182081
 신림동 621-19,37.4724731728778,126.919845182616
 방배동 778-29,37.4927930080922,126.98595986589
 방배동 889-1,37.4870218749873,126.998317922019
 고척동 156-15,37.505259014023,126.85795580863
 제기동 690-12,37.5848772260308,127.039745512805
 화곡동 372-93,37.5363286742589,126.835181655597
 방배동 869-16,37.4870441365738,126.989798144832
 봉천동 196-66,37.4735575441514,126.964508890845
 신림동 1568-14,37.4799121092199,126.915429206443
 면목동 623-8,37.5785667295476,127.088000394489
 봉천동 180-69,37.4706998687543,126.966082836781
 신당동 420-16,37.5568967727152,127.01002995109
 전농동 126-26,37.5833242923162,127.050751662746
 방배동 978-7,37.4804487765066,126.992766579725
 화곡동 1087-37,37.5381067012512,126.835307700337
 방배동 463-8,37.4809418978502,126.984937343856
 이문동 348-13,37.5959293408825,127.05662756656
 화곡동 61-75,37.5418104008671,126.845711553704
 방화동 598-148,37.5675572945046,126.812413113694
 화곡동 59-8,37.5424805809694,126.846680175318
 신림동 536-11,37.4836582294648,126.911964208989
 신림동 1491-13,37.478974797697,126.91284801394
 상봉동 128-77,37.593960502088,127.078090452797
 신당동 346-461,37.553790085454,127.01448619447
 장안동 293-3,37.5740002579622,127.069653005049
 면목동 101-26,37.5897875735405,127.089117280508
 개봉동 403-230,37.4946930187096,126.856557012649
 등촌동 643-21,37.555154192623,126.860154676394
 방배동 870-28,37.4875803148586,126.990763608262
 신림동 1416-17,37.4874519710421,126.930988610722
 신림동 1461-7,37.4857735060195,126.926147656618
 방배동 875-17,37.4886811857907,126.993648052632
 신림동 1479-39,37.4786679712433,126.913312463966
 신당동 41-52,37.5599955365377,127.019816627593
 화곡동 895-3,37.5300958433868,126.850146712547
 신림동 254-195,37.4652078699409,126.9363043408
 화곡동 50-15,37.5428221592653,126.848683367499
 화곡동 1046-28,37.5423079625481,126.835743324885
 개봉동 321-5,37.4925943818457,126.852798669835
 오류동 184-1,36.3281081594441,127.404384785848
 등촌동 510-2,37.5485391828428,126.863066286968
 방배동 765-12,37.4946458667858,126.983623007123
 양재동 386-5,37.4698828673706,127.047763230384
 신림동 650-57,37.4686803322297,126.923164122055
 등촌동 365-7,37.5515650920371,126.860895815777
 신림동 1439-31,37.4875724708552,126.926585782776
 중화동 329-1,37.6013748815184,127.075923487176
 장충동2가 193-119,37.5587007748366,127.001445003856
 신당동 304-413,37.5610420148965,127.012762559336
 면목동 74-45,37.5899133214275,127.092375041624
 면목동 68-5,37.5871740386854,127.09393048741
 휘경동 281-72,37.5877453325013,127.058236172352
 신림동 103-134,37.4719436000007,126.939913830185
 궁동 280-14,37.4985208907378,126.829818578693
 등촌동 365-151,37.5500777226536,126.857791312717
 화곡동 102-75,37.539210829592,126.846595271002
