지역코드,건물명,주소,층,거래일,거래금액,면적,건축년도,평,보증금,월세
11590,	(142-1)	, 사당동 142-1,7층,2020 2 20,"2,000/50",18.81,2012,5.7,"2,000",50
11590,다라실, 사당동 1031-23,8층,2020 2 22,"1,000/50",13.5,2004,4.1,"1,000",50
11590,다라실, 사당동 1031-23,4층,2020 2 23,"7,000/30",16.0,2004,4.8,"7,000",30
11590,원노블레스, 대방동 394-25,2층,2020 2 6,"1,000/50",19.84,2015,6.0,"1,000",50
11380,대경아르체, 녹번동 176-3,4층,2020 2 4,"19,500/0",41.31,2015,12.5,"19,500",0
11380,	(131-14)	, 녹번동 131-14,2층,2020 2 20,"7,000/10",25.47,2003,7.7,"7,000",10
11380,녹번동메카오피스텔, 녹번동 35-21,3층,2020 2 21,"1,000/50",21.26,2003,6.4,"1,000",50
11380,녹번동메카오피스텔, 녹번동 35-21,2층,2020 2 22,500/55,20.51,2003,6.2,500,55
11380,	(484-243)	, 불광동 484-243,2층,2020 2 1,"3,000/40",42.2,2009,12.8,"3,000",40
11380,디앤제이하우징, 불광동 281-20,4층,2020 2 20,"22,000/0",46.38,2016,14.0,"22,000",0
11380,해피하우스, 불광동 281-16,3층,2020 2 24,"18,000/0",27.21,2017,8.2,"18,000",0
11380,세민하이파크, 불광동 12-2,6층,2020 2 26,"31,000/0",52.28,2020,15.8,"31,000",0
11380,힐튼럭스빌, 불광동 222-6,2층,2020 2 26,"12,000/15",55.88,2011,16.9,"12,000",15
11380,세민하이파크, 불광동 12-2,3층,2020 2 28,"31,500/0",58.55,2020,17.7,"31,500",0
11380,세민하이파크, 불광동 12-2,5층,2020 2 28,"32,000/0",58.55,2020,17.7,"32,000",0
11380,플라잉캐슬, 갈현동 468-4,2층,2020 2 12,"29,000/0",65.95,2019,19.9,"29,000",0
11380,힐튼렉스빌, 구산동 3-24,2층,2020 2 14,"14,700/0",41.71,2011,12.6,"14,700",0
11380,유진 아이디움, 대조동 197-1,7층,2020 2 1,"2,000/55",17.14,2019,5.2,"2,000",55
11380,연신내역마에스트로, 대조동 186-25,7층,2020 2 1,"13,000/0",19.45,2013,5.9,"13,000",0
11380,위산 엘리시움, 대조동 179-30,5층,2020 2 3,"15,000/0",19.72,2018,6.0,"15,000",0
11380,연신엘피스, 대조동 186-3,14층,2020 2 3,"15,500/0",16.71,2019,5.1,"15,500",0
11380,오피스텔 원, 대조동 186-43,3층,2020 2 4,"10,000/0",21.78,2004,6.6,"10,000",0
11380,위산 엘리시움, 대조동 179-30,7층,2020 2 4,"14,000/0",19.72,2018,6.0,"14,000",0
11380,연신엘피스, 대조동 186-3,11층,2020 2 4,"2,000/56",16.71,2019,5.1,"2,000",56
