건물명,주소,위도,경도
왕궁, 개봉동 366-1,37.48563141,126.8549704
우성, 개봉동 469,37.50446581,126.8436795
삼환, 개봉동 470,37.49481277,126.8543745
삼호, 개봉동 471,37.49434989,126.8573405
건영, 개봉동 47-1,37.5014666,126.8408289
두산, 개봉동 472,37.49493066,126.8526647
상우, 개봉동 473,37.49372333,126.8609657
영화, 개봉동 475,37.4961641,126.8600185
한마을, 개봉동 476,37.49528465,126.8624207
대상, 개봉동 477,37.48230769,126.8497738
한진, 개봉동 478,37.48455362,126.8517983
진로, 개봉동 479,37.4905152,126.8508849
현대홈타운, 개봉동 480,37.49150672,126.8619246
현대, 개봉동 481,37.49207822,126.8583034
율포그레이스빌, 개봉동 483,37.49479878,126.8556824
고운아파트, 개봉동 484,37.49891212,126.850719
개봉동상우, 개봉동 487,37.49354973,126.8621495
영화아이닉스, 개봉동 488,37.48275459,126.8492121
개봉동현대아이파크, 개봉동 489,37.48998401,126.8598094
LIP e-푸른아파트, 개봉동 491,37.49307145,126.8501014
개봉푸르지오, 개봉동 492,37.50038052,126.8481531
한양아이클래스 구로, 개봉동 493,37.49538005,126.8569115
센트레빌레우스1단지, 개봉동 497,37.49631967,126.8539747
거성푸르뫼, 개봉동 60-101,37.50085884,126.8435253
거성푸르뫼2, 개봉동 60-82,37.50011024,126.843442
수영힐(나동), 개봉동 63-15,37.50118433,126.84469
동도센트리움(70-12), 개봉동 70-12,37.49827196,126.8467015
새롬(1164-12), 개포동 1164-12,37.47318835,127.0529518
새롬(1164-13), 개포동 1164-13,37.47328316,127.0530958
새롬(1164-14), 개포동 1164-14,37.47337802,127.0532398
리더스, 개포동 1164-25,37.47439509,127.054816
포이벨리, 개포동 1164-28,37.47462706,127.0551882
뉴현대파크빌, 개포동 1164-30,37.47481835,127.0547912
아람손프라자/비바빌, 개포동 1164-7,37.47271469,127.0522324
그린빌리지, 개포동 1167,37.47322026,127.052393
성원대치2단지아파트, 개포동 12,37.49423237,127.0754253
삼익대청아파트, 개포동 12,37.49423237,127.0754253
개포자이(12-2), 개포동 12-2,37.49629896,127.0766222
현대탑빌라, 개포동 1242-2,37.47987524,127.0460602
우찬현대(1260-11), 개포동 1260-11,37.47936637,127.0488934
우찬현대(1260-2), 개포동 1260-2,37.47950909,127.048781
우찬현대(1260-4), 개포동 1260-4,37.47954585,127.0491298
래미안블레스티지, 개포동 1280,37.48115577,127.0649035
에버그린, 개포동 166-4,37.48292394,127.0613078
현대3, 개포동 177,37.48784276,127.0608439
우성8, 개포동 179,37.48812208,127.0624521
개포주공 6단지, 개포동 185,37.48902838,127.0715359
개포주공 7단지, 개포동 185,37.48902838,127.0715359
개포주공 5단지, 개포동 187,37.48763714,127.0685036
경남1, 개포동 649,37.48448922,127.0538963
경남2차, 개포동 649,37.48448922,127.0538963
개포우성3차, 개포동 652,37.48394045,127.0560207
현대1차101동~106동, 개포동 653,37.48264078,127.0544821
현대2, 개포동 654,37.48251101,127.0513532
개포현대200동, 개포동 655-1,37.48170522,127.0526963
개포2차현대아파트(220), 개포동 655-2,37.48145984,127.0530785
쌍용, 개포동 655-3,37.48112689,127.053226
개포래미안포레스트, 개포동 656,37.4784743,127.0542081
개포6차우성아파트1동~8동, 개포동 658-1,37.47621446,127.0572161
거여리본타운, 거여동 12-1,37.49558749,127.1423864
성동레인보우, 거여동 129,37.49812623,127.1452104
삼호, 거여동 136,37.49656021,127.1436216
보화2차, 거여동 258-7,37.49033064,127.1489302
쌍용스윗닷홈2차, 거여동 27-5,37.49268917,127.1455404
쌍용스윗닷홈 거여역1차, 거여동 28,37.4920152,127.1464025
거여1단지, 거여동 290,37.49100492,127.1445997
거여2단지동아, 거여동 291,37.49029913,127.1462448
거여2단지효성, 거여동 291,37.49029913,127.1462448
거여3단지, 거여동 292,37.48995,127.1476896
거여4단지, 거여동 293,37.48922953,127.1438021
거여5단지, 거여동 294,37.4888967,127.1453248
거여6단지, 거여동 295,37.48860232,127.1466294
우방1, 거여동 356,37.49275348,127.1421821
현대1차, 거여동 362,37.49284792,127.1410307
현대2차, 거여동 44,37.49462489,127.1464107
블레스, 거여동 45-1,37.49368677,127.1474362
현대3차, 거여동 46,37.49693747,127.1450418
금호어울림, 거여동 593,37.49219594,127.1433353
삼성빌딩, 경운동 22,37.57451353,126.9883533
고덕 센트럴 푸르지오, 고덕동 210-1,37.55767904,127.1700932
상록, 고덕동 307,37.55640482,127.1539477
배재현대, 고덕동 312,37.55653902,127.1521332
대우, 고덕동 470,37.55879275,127.1449371
아남1, 고덕동 486,37.5580285,127.1459167
고덕 아이파크, 고덕동 499,37.55907314,127.1549755
고덕래미안 힐스테이트아파트, 고덕동 688,37.55894184,127.1470811
고덕그라시움, 고덕동 693,37.55807132,127.163466
서울가든, 고척동 141-1,37.50249841,126.8604686
고척리본타운, 고척동 156,37.50517197,126.8573462
해피그린(171-31), 고척동 171-31,37.50521439,126.8595597
진성, 고척동 215-5,37.5070919,126.8551294
한성, 고척동 227-1,37.50825282,126.8537732
개봉청구, 고척동 269-1,37.50206349,126.8511288
대우, 고척동 296,37.50296707,126.8554335
경남2, 고척동 306,37.50435044,126.8567659
센츄리, 고척동 320,37.50442218,126.8624986
우성꿈동산, 고척동 321,37.50306896,126.8665214
성원, 고척동 322,37.50200545,126.8657122
그랜드, 고척동 323,37.50765764,126.8476815
신원프라자, 고척동 324,37.49924367,126.863627
경남1, 고척동 325,37.50536645,126.8627256
청구, 고척동 326,37.50146414,126.8639522
동아한신, 고척동 327,37.50102944,126.8649427
양우, 고척동 328,37.5048316,126.8565569
청솔우성, 고척동 329,37.50621538,126.8598867
삼익(1단지), 고척동 330,37.50868648,126.8530087
삼익(2단지), 고척동 331,37.50753137,126.852938
벽산, 고척동 334,37.4956307,126.8644583
예주유니츠, 고척동 335,37.50658201,126.8610239
삼환로즈빌, 고척동 336,37.4978958,126.85797
한일유앤아이, 고척동 337,37.50803507,126.8512618
마젤란, 고척동 338,37.50427156,126.864099
고척파크푸르지오, 고척동 339,37.50786425,126.8582838
고척LIG리가1차, 고척동 340,37.50563769,126.861424
고척LIG리가2차, 고척동 340-1,37.50602292,126.8621921
벽산베스트블루밍, 고척동 342,37.50480017,126.8592454
고척월드메르디앙, 고척동 343,37.50293772,126.8630256
라이프플러스, 고척동 346,37.50514499,126.8606127
한효, 고척동 52-332,37.50155905,126.8612759
산업인, 고척동 57-9,37.50475884,126.8667707
"우성,현대아파트", 고척동 76-55,37.49884814,126.862638
삼명, 고척동 97-3,37.49936086,126.8559231
공덕헤리지움, 공덕동 108-57,37.54878522,126.9598534
로즈빌B, 공덕동 111-416,37.54697585,126.9597654
로즈빌A, 공덕동 111-7,37.54714669,126.9597671
현대빌라, 공덕동 11-174,37.54835426,126.9619135
마포현대, 공덕동 188-108,37.55022437,126.9497747
솔리스타, 공덕동 30-10,37.55029132,126.9604997
공덕현대, 공덕동 370-9,37.54824474,126.9501397
공덕1삼성래미안, 공덕동 371,37.5467173,126.9514477
공덕삼성아파트, 공덕동 371-1,37.54804316,126.9509648
공덕2삼성래미안, 공덕동 43,37.55093958,126.9596748
삼성래미안공덕2차, 공덕동 44,37.55131097,126.9608151
공덕3삼성래미안, 공덕동 457,37.54818138,126.9521887
한화꿈에그린, 공덕동 460,37.54709421,126.9554551
마포공덕파크팰리스Ⅱ, 공덕동 462,37.5474419,126.9530441
래미안공덕4차, 공덕동 464,37.55055352,126.9508503
롯데캐슬프레지던트, 공덕동 467,37.54489492,126.9505575
두영이지안, 공덕동 468,37.54995595,126.961949
래미안공덕5차, 공덕동 469,37.55064497,126.952209
공덕파크자이, 공덕동 476,37.54487054,126.9479695
공덕더샵, 공덕동 478,37.54438503,126.9490778
공릉 해링턴플레이스, 공릉동 106,37.62777473,127.0867429
우방아파트, 공릉동 108,37.62665268,127.0872971
비선아파트, 공릉동 109,37.62577037,127.0872914
공릉아파트, 공릉동 110,37.62445725,127.0875708
화랑타운아파트, 공릉동 111,37.6236915,127.0889324
하늘공원, 공릉동 222,37.62525645,127.080337
하늘공원아파트(102동), 공릉동 222-4,37.62506737,127.0804445
태릉우성아파트, 공릉동 254,37.62456633,127.0847869
청수대아파트, 공릉동 270-47,37.62030028,127.0807364
신원아파트, 공릉동 370-4,37.62776948,127.075121
서일이츠뷰, 공릉동 371-11,37.6275153,127.0738516
남청파인힐, 공릉동 379-5,37.62630969,127.0714763
대동아파트2, 공릉동 380-1,37.62667751,127.0701494
청솔브레싱B동, 공릉동 380-10,37.62631422,127.0706757
청솔브레씽A동, 공릉동 380-56,37.62635774,127.0709054
신명아파트, 공릉동 382-14,37.62510723,127.0708638
임성아파트, 공릉동 389-13,37.62754715,127.0759656
참다움아파트, 공릉동 395-6,37.62555739,127.0740201
진명비베레, 공릉동 395-7,37.62538776,127.0737107
건영아파트, 공릉동 404-3,37.62446827,127.0714181
한진아파트, 공릉동 408-23,37.62536539,127.0788993
윤탁노블레스, 공릉동 421-15,37.62710601,127.0799245
공릉행복주택, 공릉동 428-7,37.62814988,127.0759824
대아2차아파트, 공릉동 492-1,37.62334097,127.0714149
서진프라자아파트, 공릉동 492-3,37.62336917,127.0718345
씨엠아파트, 공릉동 568-6,37.62278189,127.073281
우성2차아파트 101동, 공릉동 569-26,37.62251538,127.0729845
라메즈아파트, 공릉동 575-24,37.62142759,127.073344
하나플러스, 공릉동 587-8,37.62190267,127.0775434
현대(고려)아파트, 공릉동 590-1,37.62102785,127.0772244
백영아파트, 공릉동 593-6,37.62082247,127.0757752
대동아파트, 공릉동 604-11,37.61985009,127.072536
동아하이빌아파트101동, 공릉동 609-3,37.61886252,127.0726614
동아하이빌아파트, 공릉동 609-57,37.61866089,127.0727177
플라체76, 공릉동 661-20,37.61890742,127.0775849
드림파크, 공릉동 661-21,37.61894009,127.0774225
노원 프레미어스 엠코, 공릉동 670-20,37.61853202,127.0761971
미라쉘, 공릉동 670-6,37.61821887,127.0762325
6.7디벨리움, 공릉동 670-7,37.61829684,127.0765662
한일휴니스빌, 공릉동 683-14,37.61752092,127.0743369
(683-30), 공릉동 683-30,37.61779908,127.0745091
도균빌딩, 공릉동 684-16,37.61715567,127.0729803
남광미르빌, 공릉동 684-60,37.61749551,127.0733173
탑스빌아파트(101동), 공릉동 690-10,37.61738909,127.0723666
삼익아파트, 공릉동 690-2,37.61824678,127.0723053
동부아파트, 공릉동 705,37.6280615,127.0785885
시영2단지(라이프)아파트, 공릉동 707,37.63064256,127.0666819
공릉1단지아파트, 공릉동 708,37.63007903,127.0701184
삼익4단지아파트, 공릉동 714,37.62993736,127.0718185
시영3차(라이프)아파트, 공릉동 715,37.62698586,127.0686715
풍림아파트A, 공릉동 725,37.62900072,127.0669693
풍림아파트B, 공릉동 727,37.62838455,127.0691752
삼익아파트, 공릉동 737,37.62693986,127.082014
공릉우성아파트, 공릉동 738,37.62857048,127.0727517
대아아파트1차, 공릉동 740,37.62399136,127.0789547
현대성우아파트, 공릉동 741,37.6264023,127.0775145
효성아파트, 공릉동 742,37.62103687,127.0880839
공릉동 한보에센시티아파트, 공릉동 743,37.62801108,127.0804081
건영장미아파트, 공릉동 744,37.62918883,127.0753117
동신아파트, 공릉동 745,37.62799311,127.0768654
화랑해링턴플레이스아파트, 공릉동 746,37.62383307,127.0811102
두산힐스빌아파트, 공릉동 747,37.62092358,127.0797466
신도1차아파트, 공릉동 748,37.62764155,127.0700309
공릉2신도브래뉴아파트, 공릉동 749,37.62568442,127.0718023
녹주아파트, 공릉동 750,37.62043867,127.072769
대주파크빌아파트, 공릉동 751,37.62116832,127.0722513
광덕파크빌아파트, 공릉동 752,37.62255036,127.077425
길성그랑프리텔아파트, 공릉동 753,37.62793676,127.0708877
삼익2차아파트, 공릉동 754,37.62596456,127.0806184
비콘아파트, 공릉동 755,37.62158531,127.0793568
신성미소지움아파트, 공릉동 756,37.62499752,127.081018
우국리더스빌, 공릉동 757,37.62605886,127.0702661
태승훼미리아파트, 공릉동 759,37.62921133,127.0762723
태강아파트, 공릉동 81,37.62361334,127.083536
청솔아파트9, 공릉동 90,37.62145755,127.0851819
청솔아파트8, 공릉동 91,37.62325315,127.0860207
해태, 공항동 1371,37.56372162,126.815786
공항동부센트레빌, 공항동 1374,37.56061806,126.80807
발쿠치네하우스, 공항동 1378,37.55965326,126.8098908
스카이, 공항동 14-10,37.56258102,126.813775
청성스카이, 공항동 22-4,37.56268328,126.8128
송정제이빌102동, 공항동 42-12,37.56039631,126.8109937
송정제이빌101동, 공항동 42-23,37.56018323,126.8109757
현대빌라트, 광장동 105,37.55175772,127.110358
동북아스위트힐(107), 광장동 107,37.55163878,127.1098374
유진스웰, 광장동 121,37.55038703,127.1092755
워크힐팰리스, 광장동 125,37.55014292,127.1098624
현대리버빌, 광장동 131-1,37.54927817,127.1098682
워커힐, 광장동 145-8,37.55047978,127.106633
워커힐푸르지오, 광장동 148-4,37.54968079,127.1088929
연세리버빌6차, 광장동 184-1,37.54861233,127.1090406
극동2, 광장동 218-1,37.54315785,127.1040366
극동1, 광장동 218-1,37.54315785,127.1040366
신동아파밀리에, 광장동 250,37.54695195,127.1047432
광장동현대Ⅰ빌라트, 광장동 350-1,37.5493975,127.1050795
삼성광장2, 광장동 453-1,37.54243165,127.1020438
한강현대아파트, 광장동 457-24,37.54191736,127.1009688
현대3, 광장동 484,37.54053568,127.0983753
현대5, 광장동 554-7,37.53977558,127.1001788
삼성광장1, 광장동 561,37.54139426,127.1033142
"현대8(801동,802동)", 광장동 565,37.54194466,127.0997225
청구, 광장동 566,37.54249097,127.0962478
광나루현대, 광장동 567,37.54712404,127.1086063
현대8(803동), 광장동 569,37.5416514,127.0983928
상록타워아파트, 광장동 570,37.54234301,127.1010435
광장현대9단지, 광장동 576,37.54250734,127.0977507
현대파크빌, 광장동 577,37.54430673,127.1014897
금호베스트빌, 광장동 578,37.5437352,127.0939823
광장11현대홈타운, 광장동 579,37.5431023,127.097059
현대홈타운12차, 광장동 580,37.54497008,127.1030525
광장자이, 광장동 581,37.54260508,127.0951437
광장힐스테이트, 광장동 582,37.5431603,127.0996805
동아, 교북동 101,37.57143408,126.9620893
경희궁자이(4단지), 교북동 126,37.57157953,126.9613931
마운틴뷰, 구기동 125-5,37.60904642,126.9562778
신안타워, 구로동 100-8,37.49588319,126.8887225
해담채3, 구로동 104-3,37.49697853,126.8910054
그린플러스 구로 해담채2, 구로동 104-6,37.4971739,126.8913809
비즈트위트 레드, 구로동 104-8,37.49708683,126.8917044
성호메이플라워멤버스빌, 구로동 104-9,37.49690048,126.8913736
우성(1058), 구로동 1058,37.49465202,126.8723219
순영웰라이빌1차, 구로동 106-10,37.49800712,126.8916461
대림역포스큐, 구로동 106-2,37.49817403,126.8919836
대림역대성스카이렉스, 구로동 107-1,37.4994359,126.8909488
비즈트위트 블루, 구로동 107-4,37.49865224,126.8911167
현대파크빌, 구로동 108,37.50033857,126.8899272
새솔금호, 구로동 108-2,37.50001538,126.8902364
아스타 빌, 구로동 108-4,37.49961383,126.8901632
종인아네스트, 구로동 110,37.5019093,126.8884899
희훈타워빌, 구로동 110-1,37.50197473,126.8888675
효성, 구로동 110-10,37.50157848,126.8887179
하나세인스톤1차, 구로동 110-8,37.50125411,126.8889838
우원그린빌, 구로동 110-9,37.5014163,126.8888508
대림우성2, 구로동 120,37.4941069,126.8938166
구로현대, 구로동 1256,37.48848194,126.8960098
럭키, 구로동 1257,37.49207663,126.8940673
구일우성, 구로동 1259,37.49022904,126.8770073
이화우성, 구로동 1260,37.48977963,126.8938147
일신건영, 구로동 1261,37.50367969,126.8858338
월드, 구로동 1262,37.50556082,126.8759042
신도림롯데아파트, 구로동 1263,37.50363182,126.8843482
구로두산, 구로동 1265,37.48932912,126.8893415
구로두산(201동), 구로동 1266,37.4885759,126.8889364
신도림태영타운, 구로동 1267,37.50620656,126.8887615
영화참마음, 구로동 1268,37.49700878,126.8741353
중앙하이츠(1269), 구로동 1269,37.49890372,126.8805535
뉴홍현솔레디움, 구로동 1270,37.49886771,126.8834727
보람쉬움, 구로동 1271,37.48667141,126.897565
미래타워, 구로동 1272,37.48270381,126.8999087
대림아르빌, 구로동 1273,37.49051745,126.8952503
신성미소지움, 구로동 1274,37.47945902,126.89653
성삼하이츠, 구로동 1275,37.49563347,126.8924495
우리유앤미, 구로동 1277,37.496599,126.8817261
구로두산위브, 구로동 1278,37.48609846,126.8903661
우민늘푸른, 구로동 1279,37.48801885,126.8939783
한신휴플러스(1280-0), 구로동 1280,37.48845158,126.8906096
한신휴플러스(1280-1), 구로동 1280-1,37.4878078,126.8898766
한일유앤아이, 구로동 1281,37.48653694,126.8759364
덕영드림, 구로동 1282,37.500865,126.8841669
근상프리즘, 구로동 1283,37.49809507,126.8755439
우성에비뉴, 구로동 1284,37.48239638,126.8983613
대림역경남아너스빌, 구로동 1285,37.49334647,126.8931713
다울숲, 구로동 1286,37.49221751,126.8886038
구로지웰, 구로동 1287,37.49061534,126.8865011
승윤노블리안, 구로동 1289,37.48879954,126.8775683
노블리안아파트, 구로동 1289,37.48879954,126.8775683
성락, 구로동 145-23,37.48855885,126.8929791
우성(23), 구로동 23,37.5039461,126.8890437
삼성래미안, 구로동 256-1,37.48770436,126.8920042
극동, 구로동 314,37.49103871,126.8897945
골드마인(나동), 구로동 317-213,37.49284928,126.8887629
한일퍼스트빌(415-37), 구로동 415-37,37.49291964,126.8821334
신도림LG자이, 구로동 42,37.503496,126.8920745
신도림로제리움, 구로동 43-1,37.5034136,126.8914701
예원아파트, 구로동 43-2,37.50323649,126.8916172
다솜금호, 구로동 43-4,37.50250964,126.8919661
보광, 구로동 440,37.49509235,126.8854612
비즈트위트 레인보우, 구로동 44-5,37.50215015,126.8917076
비즈트위트 오렌지, 구로동 44-8,37.50211575,126.8913911
쌍용플래티넘노블, 구로동 46,37.50113057,126.8914354
하나세인스톤3차, 구로동 46-4,37.50055879,126.8919804
한스타워, 구로동 46-5,37.50044508,126.8916845
금호, 구로동 49,37.49989667,126.8922154
신구로자이, 구로동 501,37.49987088,126.8841829
신도림현대, 구로동 560,37.50481383,126.8857623
구로에스케이뷰, 구로동 567-4,37.50255749,126.8829218
현대의보아파트, 구로동 642-33,37.49818666,126.8760458
한국현대, 구로동 642-39,37.49783423,126.8753795
우방, 구로동 642-46,37.49765074,126.8744888
한신, 구로동 642-9,37.49652479,126.8736884
중앙하이츠, 구로동 685-124,37.49684186,126.8758931
현대상선, 구로동 685-147,37.49605026,126.875099
주공1, 구로동 685-222,37.49344282,126.8755116
주공2, 구로동 685-223,37.49098118,126.8764991
현대연예인, 구로동 685-70,37.49299322,126.8771394
현대로얄, 구로동 701-76,37.48633909,126.8772991
(716-22)우진빌라C, 구로동 716-22,37.48753124,126.8844197
(717-10), 구로동 717-10,37.48732494,126.8840417
(717-15)경원주택5동, 구로동 717-15,37.48763889,126.8840863
(717-20)한성, 구로동 717-20,37.4876407,126.8839105
(717-23)함양주택, 구로동 717-23,37.4874613,126.8839065
(717-39), 구로동 717-39,37.48758459,126.8836159
