가게,주소,도로명주소,경도,위도
월드크리닝 코인월드 독산점,독산동 302-21,서울 금천구 가산로3길 65,126.8919818,37.47210662
코인워시24빨래터,회기동 3-43,서울 동대문구 경희대로4길 37,127.0545494,37.59205458
코인워시24시빨래터 서부역점,,서울 중구 만리동1가 231 LIG리가아파트 103동 1층 상가,126.9937921,37.42425824
코인워시24 셀프빨래방 성균관대점,명륜1가 83-5,서울 종로구 성균관로 40,126.9969286,37.58635202
코인워시24빨래방 공덕점,공덕동 462,서울 마포구 마포대로 143 2층,126.9531096,37.54746579
코인워시24 광화문점,내자동 175,서울 종로구 사직로8길 15-2,126.9705823,37.57481557
코인워시24 역촌점,역촌동 18-54,서울 은평구 서오릉로7길 12-1,126.9210284,37.60638639
코인워시 24빨래터 명지대점,홍은동 421-15,서울 서대문구 명지대길 28,126.9247878,37.58161089
코인워시24빨래터 KCLA광진점,자양동 851-19,서울 광진구 능동로7길 50,127.0663991,37.53774687
크린토피아 코인워시 문정법조푸르지오시티점,문정동 320-1,서울 송파구 법원로4길 5 지하 1층,127.1217287,37.4828958
크린토피아 코인워시 송파헬리오시티2호점,가락동 479,서울 송파구 송파대로 345 헬리오시티 2A동 B07호,127.1066645,37.49890694
호스텔클레오 코인런드리,동교동 113-96,서울 마포구 연희로 27 호스텔 클레오 지하 1층,126.9266812,37.56138194
크린위드 방배코인워시점,방배동 464-31,서울 서초구 청두곶길 41 1층 101호,126.9852546,37.48036221
코인워시24 한양대점,행당동 1-64,서울 성동구 마조로9길 11 1층,127.0402244,37.5611767
코인워시24 석촌점,석촌동 273-18,서울 송파구 가락로12길 5-29 1층,127.106836,37.50039302
월드크리닝플러스월드코인365,문래동6가 29,서울 영등포구 선유로17길 24 1층,126.8871407,37.52110431
코인워시24시빨래방,구로동 1131-8,서울 구로구 시흥대로 525,126.8989311,37.48038481
코인워시24빨래터 구산역점,대조동 171-60,서울 은평구 역말로9길 1,126.9216115,37.6112223
코인워시 길동점,길동 345-1,서울 강동구 천중로49길 10,127.1430476,37.54132631
코인워시24빨래터 광운대점,월계동 393-1,서울 노원구 광운로 45,127.0590214,37.62149739
크린토피아 코인워시 수색롯데캐슬점,,서울 은평구 수색동 331-11 B동 401호,126.9937921,37.42425824
코인셀프빨래방 홍대점,서교동 332-3,서울 마포구 와우산로29길 63,126.9266214,37.55595991
뽀송뽀송 COIN WASH,대조동 4,서울 은평구 통일로 745-4,126.9281504,37.61174065
코인워시24빨래터 낙성대점,봉천동 1631-11,서울 관악구 남부순환로244길 26,126.9627769,37.47597978
코인워시24빨래터 구로점,구로4동 745-3,서울 구로구 구로동로18길 34,126.8863061,37.48768546
퍼펙트코인빨래방,봉천동 957-6,서울 관악구 은천로 14 쁘띠그린힐 1층,126.936757,37.4861189
코인워시24빨래터 합정역점,합정동 372-7,서울 마포구 독막로2길 22,126.9144439,37.54763091
크린토피아 코인워시 영등포신길보라매SK뷰점,,서울 영등포구 신길동 522,126.9937921,37.42425824
코인워시24빨래터 서대문역점,충정로2가 37-15,서울 서대문구 경기대로 80,126.9646554,37.56574156
크린위드 잠실코인워시점,삼전동 42,서울 송파구 삼전로4길 22 101호,127.0886176,37.50156382
코인워시 24 건대점,화양동 33-21,서울 광진구 능동로13길 81-1,127.0686203,37.54521924
크린토피아 코인워시365 내곡힐스테이트점,,서울 서초구 신원동 557,126.9937921,37.42425824
코인워시24빨래터 숙대점,원효로1가 38-4,서울 용산구 원효로89길 12,126.9685473,37.54068269
코인워시24시빨래터 잠실점,삼전동 8-8,서울 송파구 백제고분로21길 9,127.0898202,37.50485461
크린토피아 코인워시 용산해방촌점,용산동2가 26-7,서울 용산구 신흥로12길 5,126.9880351,37.54348104
코인워시24빨래터 방이점,방이동 158-9,서울 송파구 백제고분로50길 42,127.1190649,37.5128099
크린토피아 코인워시 왕십리센트라스점,상왕십리동 816-1,서울 성동구 왕십리로 410 센트라스 상가 J동 141호,127.0248747,37.5667278
코인워시24빨래터 신천점,잠실동 213-9,서울 송파구 올림픽로12길 39-1,127.0837374,37.50802099
코인워시24빨래방 고려대점,제기동 146-47,서울 동대문구 안암로 108,127.0319231,37.58511191
코인워시24빨래터 풍납점,풍납동 485-2,서울 송파구 풍성로25길 23,127.1206876,37.53542454
코인워시24 응암점,응암3동 124-6,서울 은평구 응암로25길 5,126.9176334,37.59505707
코인워시 24빨래터 신대방점,신대방동 338-19,서울 동작구 국사봉길 26,126.9292071,37.49811002
코인워시24 까치산역점,화곡1동 353-60,서울 강서구 강서로17길 48 성운빌딩 1층,126.8431334,37.53269132
코인워시 24 세종대점,군자동 48-34,서울 광진구 면목로 9,127.0752713,37.5551336
코인워시24빨래방 연신내점,갈현동 502-2,서울 은평구 연서로27길 33,126.9159506,37.61878799
코인워시24빨래터 신림점,신림동 1529,서울 관악구 호암로 579,126.9324954,37.46917237
코인워시24 상명대점,홍제동 286-16,서울 서대문구 세검정로 103,126.9493281,37.59687709
코인엘 까치산점,화곡동 926-1,서울 강서구 강서로7길 89 1층,126.8427283,37.52908621
코인워시인덕대점,월계동 274,서울 노원구 초안산로2라길 23,127.0578137,37.63137627
코인워시24 목동점,목3동 621-11,서울 양천구 목동중앙북로8라길 34 1층 101호,126.8633219,37.5466094
코인워시24 수유점,미아동 187-37,서울 강북구 도봉로76길 16,127.0245932,37.63286682
코인워시24빨래터 개봉점,고척동 257-27,서울 구로구 경인로33길 110,126.8502655,37.50265201
코인워시24셀프빨래터 강남대치점,대치동 923-9,서울 강남구 선릉로64길 15-12,127.0533586,37.49882822
크린앤화이트24시코인셀프빨래방,장안동 109-10,서울 동대문구 한천로40길 11,127.0688886,37.57756945
코인워시24 신림점,신림동 1559-7,서울 관악구 호암로 574,126.9326706,37.46864701
코인워시24빨래터 영등포구청역점,당산동3가 72-1,서울 영등포구 양산로25길 9,126.8985249,37.5246391
코인워시24빨래터 서경대점,정릉동 266-425,서울 성북구 서경로 106,127.0135042,37.61204183
버블존 24시코인워시빨래방,석촌동 56-16,서울 송파구 석촌호수로18길 18,127.1012771,37.50535642
코인워시24빨래터 은평점,역촌동 66-34,서울 은평구 연서로3길 20,126.9135354,37.60234465
코인워시24빨래터 북아현점,북아현동 1-254,서울 서대문구 북아현로 82-1,126.9538129,37.5641832
코인워시24 홍대입구역점,연남동 504-23,서울 마포구 연남로5길 36,126.9200784,37.56149304
코인워시24 북가좌점,북가좌동 304-28,서울 서대문구 거북골로 176,126.9109563,37.57706187
코인워시24빨래터 문정점,문정동 121-6,서울 송파구 송이로31길 8-4,127.132158,37.48832594
코인워시24 셀프빨래방 사당역점,사당동 1049-15,서울 동작구 남부순환로 2027,126.9738885,37.47640799
일렉트로룩스 코인워시,,서울 강동구 길동 228-7,126.9937921,37.42425824
