가게,주소,도로명주소,경도,위도,입지요건
용호식자재마트,쌍문동 711,서울 도봉구 방학로5길 33 1층 1호,127.03813229999999,37.66141943,대형마트
한두레마트 대치점,대치동 316,서울 강남구 삼성로 212,127.0640314,37.49597231,대형마트
곰식자재마트,창동 581-81,서울 도봉구 덕릉로59가길 9,127.03860039999999,37.64004179,대형마트
풍기인삼농협 하나로미니,홍파동 199,서울 종로구 송월길 99 경희궁자이2단지 상가 1층 2109호,126.9629281,37.56996171,대형마트
세이러스 본사,상계동 624,서울 노원구 동일로227길 26 1층,127.05408700000001,37.66752468,대형마트
초록마을 고덕역점,명일동 48-14,서울 강동구 동남로71길 24,127.1547744,37.55196587,대형마트
정현마트,도림동 32-11,서울 영등포구 신길로 215,126.9097479,37.5113593,대형마트
금강대형마트,등촌동 700,서울 강서구 공항대로41길 34,126.84571470000002,37.55928299,대형마트
홍은후레쉬대형마트 반찬코너,홍은동 455,서울 서대문구 세검정로1길 93,126.94556570000002,37.59446902,대형마트
맥도날드 서울시청점,을지로1가 32,서울 중구 남대문로9길 51 1층,126.9794991,37.56681308,맥도널드
맥도날드 강남2호점,역삼동 822-2,서울 강남구 테헤란로 107 메디타워 2층,127.02875420000001,37.49868114,맥도널드
맥도날드 등촌DT점,등촌동 630,서울 강서구 양천로 546,126.8597668,37.55829591,맥도널드
맥도날드 강남삼성DT점,삼성동 113-7,서울 강남구 봉은사로 432,127.04732299999999,37.51094431,맥도널드
맥도날드 양재SK DT점,양재동 81,서울 서초구 바우뫼로 178,127.0396153,37.47808718,맥도널드
맥도날드 청담DT점,청담동 87-3,서울 강남구 도산대로 407,127.0402712,37.52371464,맥도널드
맥도날드 신림점,신림동 1641-22,서울 관악구 신림로 310,126.93019270000002,37.48193994,맥도널드
맥도날드 서울둔촌DT점,둔촌동 517-2,서울 강동구 양재대로 1382,127.1372794,37.52933781,맥도널드
맥도날드 종암SK점,종암동 10-15,서울 성북구 종암로 58,127.036076,37.59552593,맥도널드
맥도날드 송파잠실DT점,잠실동 305-15,서울 송파구 도곡로 434,127.0769795,37.50438328,맥도널드
맥도날드 서울시흥DT점,시흥동 903-4,서울 금천구 시흥대로 184,126.9027425,37.450480999999996,맥도널드
맥도날드 굽은다리역DT점,천호동 31-10,서울 강동구 양재대로 1587,127.1430024,37.54726321,맥도널드
맥도날드 석촌역점,송파동 84,서울 송파구 백제고분로 390,127.1091334,37.50601523,맥도널드
